LAYER,SL_GEW_NAM,SL_GEW_KNZ,GEB_HQ,DATUM_BEOB,LINK
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-la.bayern.de/
Historische Hochwasserereignisse,Würm,164600000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,HQ 50,05/1999,http://www.wwa-m.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,HQ 50,05/1999,http://www.wwa-m.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,HQ 50,05/1999,http://www.wwa-m.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-deg.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,,,http://www.wwa-r.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Ammersee,164000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Windach,164320000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Windach,164320000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Windach,164320000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Windach,164320000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Ammer,164000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Ammer,164000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Ammer,164000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Ammer,164000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Isar,160000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Loisach,162000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Ammersee,164000000000000.0,,,http://www.wwa-wm.bayern.de/
Historische Hochwasserereignisse,Inn,180000000000000.0,HQ 100,24.08.2005,http://www.wwa-ro.bayern.de/
Historische Hochwasserereignisse,Inn,180000000000000.0,HQ 100,24.08.2005,http://www.wwa-ro.bayern.de/
Historische Hochwasserereignisse,Inn,180000000000000.0,HQ 100,24.08.2005,http://www.wwa-ts.bayern.de/
Historische Hochwasserereignisse,Iller,114000000000000.0,HQ 100,08.05.2005,http://www.wwa-don.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
Historische Hochwasserereignisse,Donau,100000000000000.0,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/
