ort,landkreis,latitude,longitude
Miltenberg,Landkreis Miltenberg,2951063.8536136765,4267124.0831156755
Miltenberg,Landkreis Miltenberg,2952549.8918180163,4264059.615664638
Kirchzell,Landkreis Miltenberg,2943183.1078688824,4263913.92590414
Amorbach,Landkreis Miltenberg,2947819.7225614283,4263368.6865218375
Eichenbühl,Landkreis Miltenberg,2941873.076687839,4269933.790228086
Eichenbühl,Landkreis Miltenberg,2947486.47317511,4272439.116329815
Eichenbühl,Landkreis Miltenberg,2944339.402695185,4272196.646731494
Bürgstadt,Landkreis Miltenberg,2955162.1532522263,4269405.5303953355
Eichenbühl,Landkreis Miltenberg,2957386.39375203,4274592.562870752
Weilbach,Landkreis Miltenberg,2951818.222329515,4257661.971910955
Oberstdorf,Landkreis Oberallgäu,2690133.385341064,4346087.889375905
Oberstdorf,Landkreis Oberallgäu,2704352.1079285755,4343569.214353899
Oberstdorf,Landkreis Oberallgäu,2693037.5061993916,4343099.7469904255
Pfaffenhausen,Landkreis Unterallgäu,2779800.3013850925,4351989.820703315
Breitenbrunn,Landkreis Unterallgäu,2775790.881980592,4349413.665128291
Kirchheim in Schwaben,Landkreis Unterallgäu,2784868.2253748677,4353228.151589229
Dietmannsried,Landkreis Oberallgäu,2745926.038288856,4338562.993339154
Dietmannsried,Landkreis Oberallgäu,2744699.6543383375,4344363.810763833
Legau,Landkreis Unterallgäu,2747048.525400466,4330373.1484844545
Altusried,Landkreis Oberallgäu,2740125.652242058,4329391.150184398
Altusried,Landkreis Oberallgäu,2746261.1589001603,4334395.372962837
Altusried,Landkreis Oberallgäu,2738256.302748437,4332307.603074369
Oy-Mittelberg,Landkreis Oberallgäu,2724840.8768133977,4355517.678229439
Nesselwang,Landkreis Ostallgäu,2726358.551140877,4359744.345856367
Wertach,Landkreis Oberallgäu,2716155.5178734553,4354410.606082744
Bad Hindelang,Landkreis Oberallgäu,2707229.555387796,4356140.996576753
Rettenberg,Landkreis Oberallgäu,2721668.947048801,4350124.936685193
Burgberg i.Allgäu,Landkreis Oberallgäu,2713307.260408318,4343179.695774057
Blaichach,Landkreis Oberallgäu,2713828.69519213,4338092.289720382
Blaichach,Landkreis Oberallgäu,2707542.209333132,4335552.549998894
Immenstadt im Allgäu,Landkreis Oberallgäu,2715471.352116774,4335872.928991613
Immenstadt im Allgäu,Landkreis Oberallgäu,2717430.271199864,4335409.309929701
Immenstadt im Allgäu,Landkreis Oberallgäu,2721602.2287878795,4338614.323299898
Immenstadt im Allgäu,Landkreis Oberallgäu,2720927.5028848257,4334189.772911289
Oberstaufen,Landkreis Oberallgäu,2713597.2980650966,4326569.65789069
Oberstaufen,Landkreis Oberallgäu,2713456.4134162716,4329695.388593513
Wiggensbach,Landkreis Oberallgäu,2736666.1908148956,4337799.00208323
Gaukönigshofen,Landkreis Würzburg,2944944.8681846857,4320742.952494697
Leinach,Landkreis Würzburg,2968171.696737478,4307762.281613851
Roßtal,Landkreis Fürth,2919403.2455525263,4384093.999555789
Roßtal,Landkreis Fürth,2920796.398152493,4386419.987189003
Roßtal,Landkreis Fürth,2921354.733239218,4383936.748690222
Großhabersdorf,Landkreis Fürth,2923864.8921936597,4377456.390034218
Burgthann,Landkreis Nürnberger Land,2916192.97891027,4416910.131235724
Burgthann,Landkreis Nürnberger Land,2914309.173413409,4420125.590541571
Burgthann,Landkreis Nürnberger Land,2916708.8054866605,4419434.358150261
Allersberg,Landkreis Roth,2906319.2163175303,4411103.219246596
Allersberg,Landkreis Roth,2903857.1689298837,4409611.929001021
Pyrbaum,Landkreis Neumarkt in der Oberpfalz,2907449.6698991507,4416074.018191965
Pyrbaum,Landkreis Neumarkt in der Oberpfalz,2906059.607551611,4414841.603652323
Dasing,Landkreis Aichach-Friedberg,2808173.108542448,4396479.006913709
Wildpoldsried,Landkreis Oberallgäu,2738211.426326894,4353544.410936962
Haldenwang,Landkreis Oberallgäu,2744478.8816659492,4346213.654516186
Collenberg,Landkreis Miltenberg,2964631.5453492976,4272229.750658126
Babenhausen,Landkreis Unterallgäu,2781985.8368734317,4340303.684331152
Erkheim,Landkreis Unterallgäu,2774621.4476775806,4346109.20069193
Boos,Landkreis Unterallgäu,2774747.9329720726,4334965.086224066
Biessenhofen,Landkreis Ostallgäu,2746962.6363852015,4371299.451702747
Mauerstetten,Landkreis Ostallgäu,2752122.7182638305,4371858.504597482
Stöttwang,Landkreis Ostallgäu,2752552.8137923284,4375261.296610543
Germaringen,Landkreis Ostallgäu,2761400.5225171098,4375034.043184247
Pforzen,Landkreis Ostallgäu,2757010.3089839616,4368916.650300569
Markt Rettenbach,Landkreis Unterallgäu,2763452.5008992334,4349782.440678736
Ottobeuren,Landkreis Unterallgäu,2759179.6341322865,4343094.6961609395
Ottobeuren,Landkreis Unterallgäu,2755599.1864210116,4347063.433499784
Wolfertschwenden,Landkreis Unterallgäu,2753784.0909226704,4338953.152741786
Buxheim,Landkreis Unterallgäu,2760905.6114194375,4330585.2984476695
Woringen,Landkreis Unterallgäu,2757526.7032470247,4337542.319963655
Bad Grönenbach,Landkreis Unterallgäu,2748938.097314958,4337934.611147981
Würzburg,,2962879.2822205704,4316344.586497069
Würzburg,,2963057.3331979285,4316187.931273797
Würzburg,,2962881.804928677,4316343.459593089
Würzburg,,2962513.567380458,4316574.921522868
Würzburg,,2964040.6997571536,4317000.135719713
Mindelheim,Landkreis Unterallgäu,2769855.3612542083,4357994.682909863
Mindelheim,Landkreis Unterallgäu,2767779.939246274,4361055.541430315
Mindelheim,Landkreis Unterallgäu,2773304.181209538,4356283.063767878
Mindelheim,Landkreis Unterallgäu,2774723.4022256844,4358960.3034866005
Würzburg,,2964764.624477182,4316654.8203399945
Würzburg,,2963800.920269716,4315795.684725909
Würzburg,,2964582.1796487845,4315747.19924683
Memmingerberg,Landkreis Unterallgäu,2763368.9260388967,4337416.976389203
Westerheim,Landkreis Unterallgäu,2770607.1750536836,4343441.584147973
Sontheim,Landkreis Unterallgäu,2766774.962342142,4346045.812526132
Grainau,Landkreis Garmisch-Partenkirchen,2706936.857064449,4391860.181928724
Schwangau,Landkreis Ostallgäu,2718123.8580256794,4381968.183251641
Halblech,Landkreis Ostallgäu,2724596.994380474,4386780.228551903
Roßhaupten,Landkreis Ostallgäu,2728358.1864895863,4376463.537241876
Füssen,Landkreis Ostallgäu,2718267.8708008006,4372853.919770035
Füssen,Landkreis Ostallgäu,2716563.5173681015,4371196.146353481
Füssen,Landkreis Ostallgäu,2720064.914162477,4373215.363966843
Füssen,Landkreis Ostallgäu,2721135.2528316076,4371386.709667999
Durach,Landkreis Oberallgäu,2731233.347708028,4348286.540661263
Durach,Landkreis Oberallgäu,2731851.303555983,4346533.708133788
Sulzberg,Landkreis Oberallgäu,2729152.5808503744,4347474.354479173
Buchenberg,Landkreis Oberallgäu,2729425.0977726434,4334895.744039628
Waltenhofen,Landkreis Oberallgäu,2725373.5357150207,4337958.826477195
Waltenhofen,Landkreis Oberallgäu,2727860.0398350246,4343653.958481012
Weitnau,Landkreis Oberallgäu,2728057.541566194,4334321.58519126
Giebelstadt,Landkreis Würzburg,2948504.365797756,4313247.127823317
Kirchheim,Landkreis Würzburg,2951764.708581939,4310064.291372199
Neubrunn,Landkreis Würzburg,2957410.8267598567,4299870.184665479
Helmstadt,Landkreis Würzburg,2961168.9446273595,4296775.179822495
Altertheim,Landkreis Würzburg,2959131.737746577,4301745.681939293
Eisingen,Landkreis Würzburg,2960778.131757054,4308228.592908637
Höchberg,Landkreis Würzburg,2961506.71152933,4310875.761365056
Höchberg,Landkreis Würzburg,2964461.183964875,4312671.543508274
Waldbüttelbrunn,Landkreis Würzburg,2963566.7807385786,4309325.548206004
Hettstadt,Landkreis Würzburg,2965498.0068918313,4309148.374273701
Zell am Main,Landkreis Würzburg,2966792.765715326,4310024.070152065
Margetshöchheim,Landkreis Würzburg,2968822.826700786,4311202.554449552
Güntersleben,Landkreis Würzburg,2971173.6583680674,4314794.214624923
Veitshöchheim,Landkreis Würzburg,2969087.442144332,4313544.872183728
Veitshöchheim,Landkreis Würzburg,2969450.487912072,4314147.633459573
Veitshöchheim,Landkreis Würzburg,2970620.867771336,4311434.110544489
Eibelstadt,Landkreis Würzburg,2957378.194339893,4321724.994633139
Theilheim,Landkreis Würzburg,2960872.8826376707,4322269.874284303
Randersacker,Landkreis Würzburg,2959498.804605296,4321141.070035733
Gerbrunn,Landkreis Würzburg,2963183.1870033043,4319332.450754246
Gerbrunn,Landkreis Würzburg,2962751.224014764,4321859.187591329
Rottendorf,Landkreis Würzburg,2962256.870701318,4324948.674271275
Kürnach,Landkreis Würzburg,2969830.5837444626,4322649.320365376
Estenfeld,Landkreis Würzburg,2967166.872452837,4322351.338581994
Unterpleichfeld,Landkreis Würzburg,2973818.2229307997,4324900.63815826
Hausen b. Würzburg,Landkreis Würzburg,2977715.194227012,4322174.295436309
Weisendorf,Landkreis Erlangen-Höchstadt,2948272.905148222,4382701.983749044
Weisendorf,Landkreis Erlangen-Höchstadt,2945193.1337997466,4382493.399372632
Puschendorf,Landkreis Fürth,2935659.287726903,4380956.189275317
Henfenfeld,Landkreis Nürnberger Land,2931405.5627980586,4422145.271751036
Hersbruck,Landkreis Nürnberger Land,2933378.6733571272,4425125.150816933
Hersbruck,Landkreis Nürnberger Land,2932717.2598721287,4425788.492029959
Hersbruck,Landkreis Nürnberger Land,2935444.8397729346,4421866.400432163
Kirchensittenbach,Landkreis Nürnberger Land,2937902.0662969076,4422379.722990649
Simmelsdorf,Landkreis Nürnberger Land,2942553.849838495,4416267.011695596
Schnaittach,Landkreis Nürnberger Land,2941830.765339862,4420437.763803768
Schnaittach,Landkreis Nürnberger Land,2940111.0333860307,4420375.115295362
Eckental,Landkreis Erlangen-Höchstadt,2943421.8161110366,4410699.325301567
Eckental,Landkreis Erlangen-Höchstadt,2941889.957476126,4407485.705585932
Eckental,Landkreis Erlangen-Höchstadt,2941594.5423335317,4409321.7249080185
Eckental,Landkreis Erlangen-Höchstadt,2944429.1686468692,4409344.970927869
Aurachtal,Landkreis Erlangen-Höchstadt,2940458.8847009013,4383515.688087368
Großenseebach,Landkreis Erlangen-Höchstadt,2946787.6574695553,4384403.989176803
Herzogenaurach,Landkreis Erlangen-Höchstadt,2943569.4960536864,4386483.343834451
Herzogenaurach,Landkreis Erlangen-Höchstadt,2938955.3674279554,4381705.94655066
Herzogenaurach,Landkreis Erlangen-Höchstadt,2940306.279573387,4386483.031468961
Herzogenaurach,Landkreis Erlangen-Höchstadt,2942459.517036022,4387169.414012584
Herzogenaurach,Landkreis Erlangen-Höchstadt,2938789.1063541793,4387124.625620025
Herzogenaurach,Landkreis Erlangen-Höchstadt,2938504.6818407215,4382429.66044248
Heßdorf,Landkreis Erlangen-Höchstadt,2948527.997080945,4384408.609019062
Röttenbach,Landkreis Erlangen-Höchstadt,2952521.479163921,4386680.9966185605
Hemhofen,Landkreis Erlangen-Höchstadt,2952270.6186656514,4388225.090067579
Adelsdorf,Landkreis Erlangen-Höchstadt,2955539.6032891916,4383814.747374496
Adelsdorf,Landkreis Erlangen-Höchstadt,2957808.8338486874,4387384.497485757
Zirndorf,Landkreis Fürth,2927021.4285324025,4387530.704229263
Zirndorf,Landkreis Fürth,2922437.859886437,4385833.835332396
Zirndorf,Landkreis Fürth,2926877.786659634,4389650.980543871
Zirndorf,Landkreis Fürth,2927236.980293579,4391171.986692951
Zirndorf,Landkreis Fürth,2923101.389139732,4385227.808977685
Zirndorf,Landkreis Fürth,2922611.9252452864,4387835.598334221
Zirndorf,Landkreis Fürth,2924736.723097913,4385704.600325456
Oberasbach,Landkreis Fürth,2921843.1436204547,4391011.498486106
Oberasbach,Landkreis Fürth,2924488.2483335207,4390543.876963176
Oberasbach,Landkreis Fürth,2923646.6431339663,4392027.261007407
Oberasbach,Landkreis Fürth,2924115.359496657,4392513.248880393
Oberasbach,Landkreis Fürth,2925726.120062868,4391846.281590542
Stein,Landkreis Fürth,2921055.3483070824,4390061.751120664
Stein,Landkreis Fürth,2922856.4418312116,4393161.947181562
Stein,Landkreis Fürth,2920848.6884008055,4388088.276615883
Stein,Landkreis Fürth,2919328.0018707267,4391337.048023428
Ammerndorf,Landkreis Fürth,2923412.385576856,4381780.266748953
Langenzenn,Landkreis Fürth,2934320.0181947537,4379150.209508331
Langenzenn,Landkreis Fürth,2933337.953054815,4375913.187147824
Langenzenn,Landkreis Fürth,2930167.092157482,4379424.873506545
Bubenreuth,Landkreis Erlangen-Höchstadt,2946328.2468678243,4395411.826783925
Baiersdorf,Landkreis Erlangen-Höchstadt,2947916.785029391,4394580.607039081
Baiersdorf,Landkreis Erlangen-Höchstadt,2948856.0002903785,4395311.193200621
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2921742.831385413,4424718.751417171
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2920599.0939565646,4423386.469972004
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2922002.206005775,4423098.244686206
Altdorf bei Nürnberg,Landkreis Nürnberger Land,2921006.6536269747,4418592.1242546905
Schwarzenbruck,Landkreis Nürnberger Land,2914792.72648211,4413845.846155083
Schwarzenbruck,Landkreis Nürnberger Land,2913649.328038742,4412052.841013125
Lauben,Landkreis Oberallgäu,2740602.7701436803,4343625.769515542
Memmingen,,2760201.165205158,4329013.634641683
Memmingen,,2759799.724913999,4334711.291494395
Memmingen,,2759876.4737908733,4333347.800088834
Memmingen,,2761324.573587656,4328599.975640297
Memmingen,,2766491.943434209,4335789.974261345
Memmingen,,2758996.6604914707,4328221.029835514
Memmingen,,2759996.644999743,4332353.729779972
Memmingen,,2758693.25587241,4332119.519894051
Memmingen,,2765618.9813673757,4332808.112010865
Memmingen,,2757085.785344688,4333245.868885858
Memmingen,,2768413.345933582,4337122.768350078
Kaufbeuren,,2749680.5311850463,4367706.914354403
Kaufbeuren,,2751279.6414412414,4368963.129032035
Kaufbeuren,,2751568.771469628,4369491.707103867
Kaufbeuren,,2753151.6886884747,4369112.068383311
Kaufbeuren,,2752735.3749147123,4365920.71657758
Kaufbeuren,,2751390.7032653173,4365391.031695698
Kaufbeuren,,2753386.737333523,4366574.005579804
Kaufbeuren,,2755715.5385458274,4368729.936305358
Kaufbeuren,,2752352.5819918895,4363796.936242504
Kaufbeuren,,2749515.3476431575,4368354.339653635
Kaufbeuren,,2750388.030239897,4367752.656939176
Klingenberg am Main,Landkreis Miltenberg,2963436.7517126524,4262904.522849889
Klingenberg am Main,Landkreis Miltenberg,2963159.554273025,4263005.476253911
Bodolz,Landkreis Lindau,2721791.174702603,4295464.194821725
Bodolz,Landkreis Lindau,2718887.3934461228,4294917.751210258
Bodolz,Landkreis Lindau,2721169.8862122684,4297201.752082848
Bodolz,Landkreis Lindau,2717610.2499768618,4298395.958393494
Bodolz,Landkreis Lindau,2721007.903385671,4297048.783056553
Bodolz,Landkreis Lindau,2720468.5432030507,4297560.458530969
Bodolz,Landkreis Lindau,2721942.047775662,4296270.8822306665
Lindau (Bodensee),Landkreis Lindau,2717882.3726516473,4299950.002163934
Lindau (Bodensee),Landkreis Lindau,2716636.5713538243,4296848.500104421
Lindau (Bodensee),Landkreis Lindau,2715332.867385447,4299854.653700003
Lindau (Bodensee),Landkreis Lindau,2716063.2205678113,4300327.004772158
Lindau (Bodensee),Landkreis Lindau,2718503.2629212644,4297230.749698594
Lindau (Bodensee),Landkreis Lindau,2721025.607158169,4294992.553077109
Lindau (Bodensee),Landkreis Lindau,2719670.771756107,4294326.47878622
Eschau,Landkreis Miltenberg,2968147.218956477,4268529.206273947
Großheubach,Landkreis Miltenberg,2959399.1857229536,4264554.919061972
Wörth am Main,Landkreis Miltenberg,2966053.169847516,4257589.431636753
Erlenbach am Main,Landkreis Miltenberg,2968410.592934807,4260231.325633032
Erlenbach am Main,Landkreis Miltenberg,2964444.5812920346,4263133.990486765
Erlenbach am Main,Landkreis Miltenberg,2966423.424066978,4261648.6355144875
Mönchberg,Landkreis Miltenberg,2966418.342080435,4268987.269575292
Hausen,Landkreis Miltenberg,2973889.295247837,4266133.90645927
Kleinwallstadt,Landkreis Miltenberg,2972241.012367428,4264249.0278191175
Kleinwallstadt,Landkreis Miltenberg,2975020.474925686,4261482.3792798575
Sulzbach am Main,Landkreis Miltenberg,2978596.641523902,4259715.984592795
Sulzbach am Main,Landkreis Miltenberg,2976485.8610832454,4260937.741486348
Großwallstadt,Landkreis Miltenberg,2974811.046156841,4258918.931951892
Niedernberg,Landkreis Miltenberg,2975335.662831337,4256417.325751243
Hösbach,Landkreis Aschaffenburg,2992682.2044245736,4263818.393390071
Hösbach,Landkreis Aschaffenburg,2992465.0655569592,4264382.60089687
Hösbach,Landkreis Aschaffenburg,2985982.289554617,4265912.651010965
Hösbach,Landkreis Aschaffenburg,2987797.9624751452,4263520.121710148
Obernburg am Main,Landkreis Miltenberg,2965257.427760089,4255682.567793763
Obernburg am Main,Landkreis Miltenberg,2967892.793462005,4256101.964934322
Mömlingen,Landkreis Miltenberg,2974274.497434359,4254882.084297647
Stockstadt am Main,Landkreis Aschaffenburg,2988622.700095303,4251889.851117932
Stockstadt am Main,Landkreis Aschaffenburg,2984213.2848093547,4251340.827558069
Krombach,Landkreis Aschaffenburg,2997898.0045265392,4263957.186294167
Mömbris,Landkreis Aschaffenburg,2997890.90167831,4260381.077565683
Mömbris,Landkreis Aschaffenburg,2994226.8350673155,4257206.249809673
Mömbris,Landkreis Aschaffenburg,2997236.8639230127,4261692.56797006
Johannesberg,Landkreis Aschaffenburg,2989171.443921719,4257723.566645671
Mainaschaff,Landkreis Aschaffenburg,2985942.5027263467,4256052.734915199
Mainaschaff,Landkreis Aschaffenburg,2986295.954496437,4255460.887273939
Kleinostheim,Landkreis Aschaffenburg,2988927.791632767,4253175.583154106
Kleinostheim,Landkreis Aschaffenburg,2990918.523296474,4251562.43757385
Karlstein am Main,Landkreis Aschaffenburg,2992700.605539806,4248535.017533534
Karlstein am Main,Landkreis Aschaffenburg,2994335.256436845,4249400.459792743
Kahl am Main,Landkreis Aschaffenburg,2997495.773015318,4249362.998908588
Kahl am Main,Landkreis Aschaffenburg,2995218.8134952267,4248737.932854646
Alzenau,Landkreis Aschaffenburg,2995586.265644271,4251532.767345042
Alzenau,Landkreis Aschaffenburg,2997980.0777024687,4251676.523629301
Alzenau,Landkreis Aschaffenburg,2997301.7389732236,4254650.025700789
Alzenau,Landkreis Aschaffenburg,2998107.4235595064,4256831.353659869
Alzenau,Landkreis Aschaffenburg,3000612.741173686,4253286.309552866
Würzburg,,2963547.713747622,4318170.712088919
Würzburg,,2963176.665597477,4318926.507590124
