ort,landkreis,latitude,longitude,geometry,GEB_HQ,flood_risk
Miltenberg,Landkreis Miltenberg,2954441.574317456,4267205.8520266265,POINT (4267205.8520266265 2954441.574317456),,very low
Miltenberg,Landkreis Miltenberg,2952046.6206028988,4270681.484361267,POINT (4270681.484361267 2952046.6206028988),,very low
Kirchzell,Landkreis Miltenberg,2940875.9949418777,4260998.121344883,POINT (4260998.121344883 2940875.9949418777),,very low
Amorbach,Landkreis Miltenberg,2950092.0606432315,4269812.313574308,POINT (4269812.313574308 2950092.0606432315),,very low
Eichenbühl,Landkreis Miltenberg,2941730.589833068,4277705.725211762,POINT (4277705.725211762 2941730.589833068),,very low
Eichenbühl,Landkreis Miltenberg,2936409.560521899,4279833.49945449,POINT (4279833.49945449 2936409.560521899),,very low
Eichenbühl,Landkreis Miltenberg,2942227.031815271,4277240.188679776,POINT (4277240.188679776 2942227.031815271),,very low
Bürgstadt,Landkreis Miltenberg,2957973.014020501,4273889.434137492,POINT (4273889.434137492 2957973.014020501),,very low
Eichenbühl,Landkreis Miltenberg,2957309.987826726,4274778.691569732,POINT (4274778.691569732 2957309.987826726),,very low
Weilbach,Landkreis Miltenberg,2952691.817832929,4258025.165644791,POINT (4258025.165644791 2952691.817832929),,very low
Oberstdorf,Landkreis Oberallgäu,2692472.409790302,4347477.371116117,POINT (4347477.371116117 2692472.409790302),,very low
Oberstdorf,Landkreis Oberallgäu,2693493.3295006445,4345353.880630689,POINT (4345353.880630689 2693493.3295006445),,very low
Oberstdorf,Landkreis Oberallgäu,2693624.1480123545,4346711.31740484,POINT (4346711.31740484 2693624.1480123545),,very low
Pfaffenhausen,Landkreis Unterallgäu,2777747.7635284923,4354998.883972136,POINT (4354998.883972136 2777747.7635284923),,very low
Breitenbrunn,Landkreis Unterallgäu,2777127.449758315,4351005.239496803,POINT (4351005.239496803 2777127.449758315),,very low
Kirchheim in Schwaben,Landkreis Unterallgäu,2785915.32304702,4353524.003624512,POINT (4353524.003624512 2785915.32304702),,very low
Dietmannsried,Landkreis Oberallgäu,2744901.1767942016,4341493.567271589,POINT (4341493.567271589 2744901.1767942016),,very low
Dietmannsried,Landkreis Oberallgäu,2746030.1129689235,4338714.657859759,POINT (4338714.657859759 2746030.1129689235),,very low
Legau,Landkreis Unterallgäu,2750646.6123016602,4332700.06353916,POINT (4332700.06353916 2750646.6123016602),,very low
Altusried,Landkreis Oberallgäu,2740098.3245537337,4331799.180657824,POINT (4331799.180657824 2740098.3245537337),,very low
Altusried,Landkreis Oberallgäu,2742763.4381340193,4334948.258116676,POINT (4334948.258116676 2742763.4381340193),,very low
Altusried,Landkreis Oberallgäu,2738762.444912935,4330158.420127673,POINT (4330158.420127673 2738762.444912935),,very low
Oy-Mittelberg,Landkreis Oberallgäu,2723684.717132865,4353123.201455311,POINT (4353123.201455311 2723684.717132865),,very low
Nesselwang,Landkreis Ostallgäu,2721346.147908712,4357583.327055754,POINT (4357583.327055754 2721346.147908712),,very low
Wertach,Landkreis Oberallgäu,2716910.017872203,4351654.526441588,POINT (4351654.526441588 2716910.017872203),,very low
Bad Hindelang,Landkreis Oberallgäu,2705174.103282417,4354669.883539459,POINT (4354669.883539459 2705174.103282417),,very low
Rettenberg,Landkreis Oberallgäu,2720576.5083039263,4346478.8457737975,POINT (4346478.8457737975 2720576.5083039263),,very low
Burgberg i.Allgäu,Landkreis Oberallgäu,2715288.038123622,4346796.180702834,POINT (4346796.180702834 2715288.038123622),,very low
Blaichach,Landkreis Oberallgäu,2707336.250040903,4335087.757345265,POINT (4335087.757345265 2707336.250040903),,very low
Blaichach,Landkreis Oberallgäu,2710880.800134129,4337732.820657174,POINT (4337732.820657174 2710880.800134129),,very low
Immenstadt im Allgäu,Landkreis Oberallgäu,2722184.356800045,4339573.768484613,POINT (4339573.768484613 2722184.356800045),,very low
Immenstadt im Allgäu,Landkreis Oberallgäu,2717828.2669737055,4335144.247916311,POINT (4335144.247916311 2717828.2669737055),,very low
Immenstadt im Allgäu,Landkreis Oberallgäu,2714852.246249008,4333951.744014566,POINT (4333951.744014566 2714852.246249008),,very low
Immenstadt im Allgäu,Landkreis Oberallgäu,2716591.075097875,4337480.36922137,POINT (4337480.36922137 2716591.075097875),,very low
Oberstaufen,Landkreis Oberallgäu,2709264.2597312834,4327128.269865607,POINT (4327128.269865607 2709264.2597312834),,very low
Oberstaufen,Landkreis Oberallgäu,2710713.571900469,4329039.626586363,POINT (4329039.626586363 2710713.571900469),,very low
Wiggensbach,Landkreis Oberallgäu,2737743.755611783,4337028.0173870195,POINT (4337028.0173870195 2737743.755611783),,very low
Gaukönigshofen,Landkreis Würzburg,2943781.127480215,4322415.582295312,POINT (4322415.582295312 2943781.127480215),,very low
Leinach,Landkreis Würzburg,2968961.6218829006,4306150.385975478,POINT (4306150.385975478 2968961.6218829006),,very low
Roßtal,Landkreis Fürth,2921790.316028511,4385836.727543271,POINT (4385836.727543271 2921790.316028511),,very low
Roßtal,Landkreis Fürth,2919477.0414772662,4382728.750307927,POINT (4382728.750307927 2919477.0414772662),,very low
Roßtal,Landkreis Fürth,2921440.546645687,4387090.4676255835,POINT (4387090.4676255835 2921440.546645687),,very low
Großhabersdorf,Landkreis Fürth,2920127.373297102,4379843.513668026,POINT (4379843.513668026 2920127.373297102),,very low
Burgthann,Landkreis Nürnberger Land,2915030.114888586,4418844.318019891,POINT (4418844.318019891 2915030.114888586),,very low
Burgthann,Landkreis Nürnberger Land,2914301.195057137,4420852.89937423,POINT (4420852.89937423 2914301.195057137),,very low
Burgthann,Landkreis Nürnberger Land,2916882.4814034575,4414299.86754917,POINT (4414299.86754917 2916882.4814034575),,very low
Allersberg,Landkreis Roth,2901316.1457056315,4412317.390005889,POINT (4412317.390005889 2901316.1457056315),,very low
Allersberg,Landkreis Roth,2903739.806268179,4410179.197139376,POINT (4410179.197139376 2903739.806268179),,very low
Pyrbaum,Landkreis Neumarkt in der Oberpfalz,2910993.7815502016,4411910.4249893995,POINT (4411910.4249893995 2910993.7815502016),,very low
Pyrbaum,Landkreis Neumarkt in der Oberpfalz,2907746.1343003334,4410338.094311343,POINT (4410338.094311343 2907746.1343003334),,very low
Dasing,Landkreis Aichach-Friedberg,2808894.1465539173,4404343.173119778,POINT (4404343.173119778 2808894.1465539173),,very low
Wildpoldsried,Landkreis Oberallgäu,2739302.8525643707,4351986.156558942,POINT (4351986.156558942 2739302.8525643707),,very low
Haldenwang,Landkreis Oberallgäu,2742241.5014003864,4347756.935532883,POINT (4347756.935532883 2742241.5014003864),,very low
Collenberg,Landkreis Miltenberg,2965781.732637458,4273603.891230629,POINT (4273603.891230629 2965781.732637458),,very low
Babenhausen,Landkreis Unterallgäu,2782530.7742007426,4338074.400895702,POINT (4338074.400895702 2782530.7742007426),,very low
Erkheim,Landkreis Unterallgäu,2768838.9140631403,4349046.808199436,POINT (4349046.808199436 2768838.9140631403),,very low
Boos,Landkreis Unterallgäu,2776811.047347598,4337116.0635408,POINT (4337116.0635408 2776811.047347598),,very low
Biessenhofen,Landkreis Ostallgäu,2746770.5326290377,4367369.546104616,POINT (4367369.546104616 2746770.5326290377),,very low
Mauerstetten,Landkreis Ostallgäu,2753706.365213595,4370254.171274185,POINT (4370254.171274185 2753706.365213595),,very low
Stöttwang,Landkreis Ostallgäu,2750077.1887646755,4373434.325426336,POINT (4373434.325426336 2750077.1887646755),,very low
Germaringen,Landkreis Ostallgäu,2756627.2043115357,4371131.717923192,POINT (4371131.717923192 2756627.2043115357),,very low
Pforzen,Landkreis Ostallgäu,2760576.2475625137,4363972.006244479,POINT (4363972.006244479 2760576.2475625137),,very low
Markt Rettenbach,Landkreis Unterallgäu,2759988.805450764,4346247.367399732,POINT (4346247.367399732 2759988.805450764),,very low
Ottobeuren,Landkreis Unterallgäu,2760226.350083655,4343133.534919617,POINT (4343133.534919617 2760226.350083655),,very low
Ottobeuren,Landkreis Unterallgäu,2757763.3870805996,4348347.894831615,POINT (4348347.894831615 2757763.3870805996),,very low
Wolfertschwenden,Landkreis Unterallgäu,2753822.9108979227,4341257.416732593,POINT (4341257.416732593 2753822.9108979227),,very low
Buxheim,Landkreis Unterallgäu,2762931.1359444885,4330773.730232735,POINT (4330773.730232735 2762931.1359444885),,very low
Woringen,Landkreis Unterallgäu,2756802.8517005215,4336895.8765957765,POINT (4336895.8765957765 2756802.8517005215),,very low
Bad Grönenbach,Landkreis Unterallgäu,2749320.9538620943,4339327.485887579,POINT (4339327.485887579 2749320.9538620943),,very low
Würzburg,,2963394.1226251507,4316232.924564991,POINT (4316232.924564991 2963394.1226251507),,very low
Würzburg,,2963128.5054753874,4316474.128931247,POINT (4316474.128931247 2963128.5054753874),,very low
Würzburg,,2964330.582572588,4317275.48200914,POINT (4317275.48200914 2964330.582572588),,very low
Würzburg,,2962237.5892882394,4316786.764378651,POINT (4316786.764378651 2962237.5892882394),,very low
Würzburg,,2963407.6037057703,4316186.436877325,POINT (4316186.436877325 2963407.6037057703),,very low
Mindelheim,Landkreis Unterallgäu,2772488.790955236,4359958.8334253775,POINT (4359958.8334253775 2772488.790955236),,very low
Mindelheim,Landkreis Unterallgäu,2773121.206958607,4354207.921026265,POINT (4354207.921026265 2773121.206958607),,very low
Mindelheim,Landkreis Unterallgäu,2769154.571221555,4355651.8847922245,POINT (4355651.8847922245 2769154.571221555),,very low
Mindelheim,Landkreis Unterallgäu,2769207.7152460497,4353850.873922966,POINT (4353850.873922966 2769207.7152460497),,very low
Würzburg,,2964369.2922734325,4315953.196231802,POINT (4315953.196231802 2964369.2922734325),,very low
Würzburg,,2964682.020759864,4315917.366429464,POINT (4315917.366429464 2964682.020759864),,very low
Würzburg,,2965457.286805979,4316671.588979315,POINT (4316671.588979315 2965457.286805979),,very low
