LAYER,SL_GEW_NAM,SL_GEW_KNZ,GEB_HQ,DATUM_BEOB,LINK,longitude,latitude
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.577018066044381,48.127455017894
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.577506847698954,48.12766144996243
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578002920369281,48.12784887455593
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578087978295788,48.12787773840033
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578431980800636,48.127536353455575
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578582031954822,48.12744171835394
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578867185353483,48.127342825916884
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578342771738985,48.12714579258626
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.578088507198,48.12694497876105
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.57783347346707,48.12683934419676
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.577018066044381,48.127455017894
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.568067112652624,48.12273652994645
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.570473302199492,48.12399477856838
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.572666961274527,48.12518079612816
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.57452483656645,48.12615137452718
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.57608159036125,48.12701373719404
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.576683047917449,48.12734908784507
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.577612491021695,48.12669814072322
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.576550553265392,48.12617074349284
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.57559506783402,48.125667538361924
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.574745834740364,48.12521229610334
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.573595807212286,48.124601266692196
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.571932170289912,48.123786055909775
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.570977375149472,48.12321142517475
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.570287547485627,48.122828128697726
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.568800807040542,48.122120614707285
Historische Hochwasserereignisse,Isar,"1,6E+15",HQ 50,05/1999,http://www.wwa-m.bayern.de/,11.568067112652624,48.12273652994645
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.011665936825416,48.743909305639704
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.011608630554267,48.744229366619386
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.01190809841016,48.74456935931352
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.012719981364748,48.744795632120564
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.013435795399202,48.744717410536786
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.01412675602608,48.74460522453194
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.014894232392882,48.74449368428622
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015306936486335,48.74426102443868
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015593760284961,48.74394291955186
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015882875942427,48.743506745593024
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.016430671911047,48.74288718773509
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.016925796551734,48.742351544355664
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017169150658752,48.74164502440634
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017309477584277,48.7409882518352
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017493608824369,48.74070301508391
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.018235186872744,48.740608099963005
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.018724342953465,48.74037607627729
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.01921285981777,48.7401777724994
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.01967159116342,48.740198555834795
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.019921382364192,48.74047060988546
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020171493488373,48.7407258068776
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020754812687342,48.74089947777127
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021418482504956,48.74101064780106
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021902360485011,48.741205346935566
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022300708587643,48.74123804778006
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022525463199061,48.741078691907546
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022663130532425,48.740837959791364
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.02310673792141,48.74063262785345
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.023466067559067,48.74051757258424
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.023951934257564,48.740454201437224
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.02456207812075,48.74056059888529
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.025347464259754,48.74083717140595
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.026439585107372,48.74108260315941
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.027432284125098,48.74119221421765
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.028325907210009,48.741149132125294
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.029421279941944,48.74122585228301
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.030488880593724,48.74142041421908
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.031988118780887,48.74171983025405
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.033335008709212,48.74198419279061
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.03445075195631,48.742330966027524
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.03502928382341,48.7427575841144
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.03533017261311,48.743030042788085
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.036038826377952,48.74332277906384
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.036771393312852,48.7437000715105
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.037480389343633,48.74397593298508
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.039062375601112,48.74395538042417
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.03941367624465,48.744261996463784
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.039657806527677,48.74483764076185
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04006204921945,48.74504346240269
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.040447208902041,48.74491170255577
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04060507258547,48.74465994790534
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04129467418807,48.74461508032995
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.042111837068369,48.74457124908134
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.043896926718102,48.74460294418515
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.046977420331016,48.744932135676436
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04926277550443,48.74549088367447
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.051140418645135,48.74602935296609
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.053042952341105,48.74660175174833
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.054483257249407,48.74733902477136
