ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0;very low;D;2785;0,3322;81057,98;243991,11;87,61;0,04
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0;very low;E;2785;0,6036;130615,79;216403,02;77,7;0,04
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0;very low;A+;2785;0,5878;104965,19;178583,34;64,12;0,04
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0;very low;F;2785;0,2013;70154,46;348551,06;125,15;0,04
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0;very low;D;2785;0,1308;71577,97;547306,78;196,52;0,04
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0;very low;B;2785;0,6483;108328,64;167100;60;0,04
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0;very low;G;2785;0,3758;158227,27;420999,58;151,17;0,04
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0;very low;A+;2785;0,2892;48328,67;167100;60;0,04
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0;very low;F;2785;0,2591;226743,91;875220,39;314,26;0,04
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0;very low;H;2785;0,5454;197953,21;362963,58;130,33;0,04
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0;very low;F;4851;0,3841;123388,16;321259,89;66,23;0,04
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0;very low;D;4851;0,3476;101170,22;291060;60;0,04
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0;very low;C;4851;0,2265;65937,78;291060;60;0,04
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0;very low;F;3518;0,6833;217996,02;319025,36;90,68;0,04
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0;very low;E;3518;0,5076;288764,58;568859,37;161,7;0,04
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0;very low;F;3518;0,5279;172700,64;327123,88;92,99;0,04
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0;very low;E;4851;0,4466;151978,42;340297,55;70,15;0,04
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0;very low;D;4851;0,3005;129674,71;431555,46;88,96;0,04
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0;very low;B;3518;0,7034;148481,97;211080;60;0,04
Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;0;very low;F;4851;0,4278;230561,37;539002,09;111,11;0,04
Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;0;very low;F;4851;0,0907;185220,22;2042390,02;421,02;0,04
Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;0;very low;H;4851;0,6356;184997,49;291060;60;0,04
Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;0;very low;A;4851;0,5435;158190,43;291060;60;0,04
Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;0;very low;B;3907;0,6047;141757,32;234420;60;0,04
Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;0;very low;B;4851;0,4647;135245,56;291060;60;0,04
Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;0;very low;D;4851;0,4885;142184,92;291060;60;0,04
Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;0;very low;F;4851;0,4338;144286,57;332604,17;68,56;0,04
Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;0;very low;C;4851;0,728;211900,18;291060;60;0,04
Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;0;very low;E;4851;0,0927;66883,01;721304,18;148,69;0,04
Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;0;very low;D;4851;0,6767;209843,36;310077,44;63,92;0,04
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;0;very low;A;4851;0,1434;102358,78;713594,24;147,1;0,04
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;0;very low;A;4851;0,0685;73057,98;1067006,41;219,96;0,04
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;0;very low;D;4851;0,3946;114865,12;291060;60;0,04
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;0;very low;H;4851;0,5233;222386,13;424981,58;87,61;0,04
Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;0;very low;H;4851;0,5722;166549,81;291060;60;0,04
Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;0;very low;G;4851;0,4035;222665,87;551798,19;113,75;0,04
Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;0;very low;E;4851;0,2746;119818,23;436365,99;89,95;0,04
Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;0;very low;A+;3022;0,5236;159904,91;305395,31;101,06;0,04
Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;0;very low;D;3022;0,2267;217657,18;960200,61;317,74;0,04
Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;0;very low;E;4602;0,5623;251265,41;446826,74;97,09;0,04
Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;0;very low;A;4602;0,7193;256090,38;356032,5;77,36;0,04
Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;0;very low;C;4602;0,4721;210094,43;444994,57;96,7;0,04
Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;0;very low;G;4602;0,4538;125314,21;276120;60;0,04
Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;0;very low;B;3585;0,4604;99030,75;215100;60;0,04
Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;0;very low;G;3585;0,2164;106334,17;491400,22;137,07;0,04
Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;0;very low;C;3585;0,6251;134450,52;215100;60;0,04
Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;0;very low;H;3631;0,5428;146534,23;269972,3;74,35;0,04
Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;0;very low;C;3631;0,3327;228318,34;686265,11;189;0,04
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;0;very low;D;3013;0,4655;192454,96;413402,97;137,21;0,04
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;0;very low;D;3013;0,5617;138653,32;246848,9;81,93;0,04
Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;0;very low;G;4487;0,5386;144990,85;269220;60;0,04
Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;0;very low;H;4851;0,4874;141867,06;291060;60;0,04
Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;0;very low;G;4851;0,533;155136,91;291060;60;0,04
Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;0;very low;C;2785;0,3781;89723,53;237302,3;85,21;0,04
Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;0;very low;C;3518;0,2984;153626,35;514828,29;146,34;0,04
Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;0;very low;D;3518;0,4235;89398,29;211080;60;0,04
Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;0;very low;C;3518;0,6834;144250,36;211080;60;0,04
Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;0;very low;A+;3907;0,3933;92201,32;234420;60;0,04
Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;0;very low;G;3907;0,733;171838,09;234420;60;0,04
Stöttwang;Landkreis Ostallgäu;4,78612E+16;1,06866E+15;;0;very low;A+;3907;0,4109;135000,8;328562,15;84,1;0,04
Germaringen;Landkreis Ostallgäu;4,79552E+13;1,06836E+15;;0;very low;H;3907;0,2014;136933,53;679790,91;173,99;0,04
Pforzen;Landkreis Ostallgäu;4,79404E+15;1,05998E+16;;0;very low;C;3907;0,4942;115849,88;234420;60;0,04
Markt Rettenbach;Landkreis Unterallgäu;4,79569E+16;1,03589E+16;;0;very low;E;3518;0,588;243791,49;414584,96;117,85;0,04
Ottobeuren;Landkreis Unterallgäu;4,79444E+15;1,03407E+14;;0;very low;C;3518;0,644;135941,73;211080;60;0,04
Ottobeuren;Landkreis Unterallgäu;4,79346E+16;1,02792E+16;;0;very low;F;3518;0,4336;100438,5;231623,86;65,84;0,04
Wolfertschwenden;Landkreis Unterallgäu;4,79114E+15;1,02481E+16;;0;very low;H;3518;0,6714;141715,31;211080;60;0,04
Buxheim;Landkreis Unterallgäu;4,80036E+15;1,01226E+16;;0;very low;F;3518;0,5784;122098,28;211080;60;0,04
Woringen;Landkreis Unterallgäu;4,79258E+16;1,0197E+16;;0;very low;D;3518;0,6272;132378,89;211080;60;0,04
Bad Grönenbach;Landkreis Unterallgäu;4,78713E+15;1,02162E+16;;0;very low;B;3518;0,1832;116159,62;634044,96;180,23;0,04
Würzburg;;4,97783E+15;9,93596E+15;;0;very low;E;3022;0,4798;141770,35;295469,38;97,77;0,04
Würzburg;;4,97858E+14;9,93336E+14;;0;very low;H;3022;0,7274;131893,29;181320;60;0,04
Würzburg;;4,97801E+15;9,93906E+15;;0;very low;C;3022;0,6022;109195,99;181320;60;0,04
Würzburg;;4,97899E+15;9,9441E+15;;0;very low;A+;3022;0,0673;98377,81;1460710,1;483,36;0,04
Würzburg;;4,97741E+15;9,93474E+15;;0;very low;A;3022;0,2431;76911,62;316421,56;104,71;0,04
Mindelheim;Landkreis Unterallgäu;4,80731E+15;1,05012E+16;;0;very low;F;3518;0,1569;47915,78;305480,86;86,83;0,04
Mindelheim;Landkreis Unterallgäu;4,80432E+14;1,05389E+16;;0;very low;A+;3518;0,6298;138872,72;220503,94;62,68;0,04
Mindelheim;Landkreis Unterallgäu;4,80367E+16;1,04538E+16;;0;very low;E;3518;0,6976;147257,75;211080;60;0,04
Mindelheim;Landkreis Unterallgäu;4,80717E+16;1,05184E+16;;0;very low;D;3518;0,2677;86764,29;324075,51;92,12;0,04
Würzburg;;4,97998E+15;9,92688E+15;;0;very low;B;3022;0,6782;122965,48;181320;60;0,04
Würzburg;;4,97994E+15;9,927E+15;;0;very low;C;3022;0,4127;88024,26;213272,35;70,57;0,04
Würzburg;;4,97988E+15;9,93083E+14;;0;very low;C;3022;0,475;86130,29;181320;60;0,04
Memmingerberg;Landkreis Unterallgäu;4,79908E+15;1,02198E+16;;0;very low;G;3518;0,4353;107608,33;247226,54;70,27;0,04
Westerheim;Landkreis Unterallgäu;4,79978E+15;1,0315E+16;;0;very low;A+;3518;0,5121;501866;980082,24;278,59;0,04
Sontheim;Landkreis Unterallgäu;4,79974E+16;1,03995E+16;;0;very low;E;3518;0,6748;142440,17;211080;60;0,04
Grainau;Landkreis Garmisch-Partenkirchen;4,74354E+15;1,10066E+16;;0;very low;A;7326;0,3535;155362,84;439560;60;0,04
Schwangau;Landkreis Ostallgäu;4,7536E+15;1,08396E+16;;0;very low;A;3907;0,3624;84958,96;234420;60;0,04
Halblech;Landkreis Ostallgäu;4,76142E+16;1,08054E+16;;0;very low;G;3907;0,4328;284259,99;656789,67;168,11;0,04
Roßhaupten;Landkreis Ostallgäu;4,76843E+15;1,07178E+16;;0;very low;E;3907;0,4019;94221,58;234420;60;0,04
Füssen;Landkreis Ostallgäu;4,75526E+15;1,06943E+16;;0;very low;G;3907;0,3198;74970,13;234420;60;0,04
Füssen;Landkreis Ostallgäu;4,75769E+15;1,06328E+16;;0;very low;A;3907;0,6279;147183,36;234420;60;0,04
Füssen;Landkreis Ostallgäu;4,75719E+15;1,0621E+16;;0;very low;D;3907;0,3979;93283,19;234420;60;0,04
Füssen;Landkreis Ostallgäu;4,75681E+15;1,06047E+16;;0;very low;C;3907;0,5189;134203,42;258651,28;66,2;0,04
Durach;Landkreis Oberallgäu;4,77002E+16;1,03796E+16;;0;very low;A+;4851;0,5135;149461,42;291060;60;0,04
Durach;Landkreis Oberallgäu;4,76978E+15;1,0413E+16;;0;very low;E;4851;0,2211;128839,11;582799,33;120,14;0,04
Sulzberg;Landkreis Oberallgäu;4,76752E+15;1,03566E+16;;0;very low;C;4851;0,4855;141312,86;291060;60;0,04
Buchenberg;Landkreis Oberallgäu;4,77119E+15;1,01714E+16;;0;very low;F;4851;0,087;159764,51;1835727,01;378,42;0,04
Waltenhofen;Landkreis Oberallgäu;4,76258E+15;1,02211E+16;;0;very low;F;4851;0,2625;110953,71;422691,2;87,13;0,04
Waltenhofen;Landkreis Oberallgäu;4,7646E+15;1,0265E+16;;0;very low;F;4851;0,458;133299,86;291060;60;0,04
Weitnau;Landkreis Oberallgäu;4,76727E+15;1,01634E+16;;0;very low;C;4851;0,5153;149995,01;291060;60;0,04
Giebelstadt;Landkreis Würzburg;4,96099E+15;9,96275E+15;;0;very low;A;3022;0,4427;80277,94;181320;60;0,04
Kirchheim;Landkreis Würzburg;4,9645E+16;9,84633E+15;;0;very low;G;3022;0,7148;148264,38;207430,35;68,64;0,04
Neubrunn;Landkreis Würzburg;4,97314E+15;9,68533E+14;;0;very low;C;3022;0,1338;54492,69;407254,61;134,76;0,04
Helmstadt;Landkreis Würzburg;4,97596E+15;9,7474E+15;;0;very low;E;3022;0,5178;93893,75;181320;60;0,04
Altertheim;Landkreis Würzburg;4,97423E+15;9,75784E+15;;0;very low;D;3022;0,189;152438,55;806527,43;266,89;0,04
Eisingen;Landkreis Würzburg;4,97587E+14;9,82668E+15;;0;very low;D;3022;0,5827;189382,91;325031,56;107,56;0,04
Höchberg;Landkreis Würzburg;4,9778E+15;9,86672E+15;;0;very low;B;3022;0,4233;237565,67;561167,68;185,69;0,04
Höchberg;Landkreis Würzburg;4,97834E+15;9,90102E+14;;0;very low;D;3022;0,4093;124746,91;304809,25;100,86;0,04
Waldbüttelbrunn;Landkreis Würzburg;4,97889E+15;9,8162E+15;;0;very low;F;3022;0,1293;186832,42;1444905,08;478,13;0,04
Hettstadt;Landkreis Würzburg;4,98066E+16;9,84397E+14;;0;very low;D;3022;0,6285;261725,71;416410,1;137,79;0,04
Zell am Main;Landkreis Würzburg;4,9793E+15;9,88002E+15;;0;very low;A;3022;0,2987;196684,61;658455,62;217,89;0,04
Margetshöchheim;Landkreis Würzburg;4,98354E+15;9,85952E+14;;0;very low;E;3022;0,7185;130286,73;181320;60;0,04
Güntersleben;Landkreis Würzburg;4,9891E+15;9,89775E+15;;0;very low;A+;3022;0,6953;126077,88;181320;60;0,04
Veitshöchheim;Landkreis Würzburg;4,9843E+16;9,8955E+15;;0;very low;D;3022;0,4457;162649,17;364947,84;120,76;0,04
Veitshöchheim;Landkreis Würzburg;4,98519E+15;9,90034E+14;;0;very low;H;3022;0,6889;124906,11;181320;60;0,04
Veitshöchheim;Landkreis Würzburg;4,98534E+15;9,87319E+15;;0;very low;E;3022;0,4626;146275,79;316185,46;104,63;0,04
Eibelstadt;Landkreis Würzburg;4,97237E+15;1,00165E+16;;0;very low;F;3022;0,3873;260577,26;672884,79;222,66;0,04
Theilheim;Landkreis Würzburg;4,97556E+15;1,00556E+16;;0;very low;E;3022;0,1379;53719,89;389509,9;128,89;0,04
Randersacker;Landkreis Würzburg;4,97373E+14;1,00154E+15;;0;very low;F;3022;0,5313;96844,13;182282,28;60,32;0,04
Gerbrunn;Landkreis Würzburg;4,97827E+14;1,00067E+14;;0;very low;A;3022;0,3312;137558,05;415284,22;137,42;0,04
Gerbrunn;Landkreis Würzburg;4,97866E+16;1,00025E+16;;0;very low;B;3022;0,371;221211,21;596291,75;197,32;0,04
Rottendorf;Landkreis Würzburg;4,97948E+15;1,00244E+16;;0;very low;H;3022;0,4194;117752,02;280780,26;92,91;0,04
Kürnach;Landkreis Würzburg;4,98447E+16;1,00489E+16;;0;very low;C;3022;0,493;202830,93;411450,83;136,15;0,04
Estenfeld;Landkreis Würzburg;4,9819E+15;1,00155E+16;;0;very low;G;3022;0,5014;135191,02;269631,29;89,22;0,04
Unterpleichfeld;Landkreis Würzburg;4,98775E+15;1,00239E+15;;0;very low;E;3022;0,3758;159353,3;424034,12;140,32;0,04
Hausen b. Würzburg;Landkreis Würzburg;4,9904E+14;1,00068E+14;;0;very low;C;3022;0,6587;119428,61;181320;60;0,04
Weisendorf;Landkreis Erlangen-Höchstadt;4,96176E+15;1,08417E+16;;0;very low;H;4319;0,5835;151203,43;259140;60;0,04
Weisendorf;Landkreis Erlangen-Höchstadt;4,95947E+15;1,0819E+15;;0;very low;E;4319;0,2354;210431,81;893758,1;206,94;0,04
Puschendorf;Landkreis Fürth;4,9526E+15;1,08342E+16;;0;very low;C;4602;0,2634;97854,04;371565,02;80,74;0,04
Henfenfeld;Landkreis Nürnberger Land;4,94939E+15;1,13901E+16;;0;very low;E;3585;0,1121;33882,39;302153,73;84,28;0,04
Hersbruck;Landkreis Nürnberger Land;4,95187E+14;1,14019E+16;;0;very low;A;3585;0,5095;109594,03;215100;60;0,04
Hersbruck;Landkreis Nürnberger Land;4,95244E+15;1,14474E+16;;0;very low;D;3585;0,6967;149850,26;215100;60;0,04
Hersbruck;Landkreis Nürnberger Land;4,94988E+15;1,14424E+16;;0;very low;D;3585;0,2785;59908,62;215100;60;0,04
Kirchensittenbach;Landkreis Nürnberger Land;4,95979E+15;1,14369E+15;;0;very low;H;3585;0,2039;59941,77;293932,22;81,99;0,04
Simmelsdorf;Landkreis Nürnberger Land;4,9632E+15;1,13196E+15;;0;very low;H;3585;0,5224;134898,11;258220,52;72,03;0,04
Schnaittach;Landkreis Nürnberger Land;4,95789E+15;1,13887E+16;;0;very low;G;3585;0,152;62564,7;411734,13;114,85;0,04
Schnaittach;Landkreis Nürnberger Land;4,96136E+15;1,14188E+16;;0;very low;D;3585;0,1798;153557,04;854008,13;238,22;0,04
Eckental;Landkreis Erlangen-Höchstadt;4,9564E+15;1,11917E+16;;0;very low;A;4319;0,5272;145313,59;275610,64;63,81;0,04
Eckental;Landkreis Erlangen-Höchstadt;4,95781E+16;1,12717E+16;;0;very low;F;4319;0,1204;172046,46;1429266,94;330,93;0,04
Eckental;Landkreis Erlangen-Höchstadt;4,95827E+15;1,11967E+15;;0;very low;E;4319;0,1975;77698,97;393366,48;91,08;0,04
