ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0.0;very low;0;0;D;2785;106.15698873195714;295647.2136185006;0.41030998942225416;81053.92515440477;0,2
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0.0;very low;0;0;E;2785;110.43223714654219;307553.78045312;0.6077445739353321;130620.98923609477;0,3
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0.0;very low;0;0;A+;2785;109.0616230867823;303736.6202966887;0.4736302975902452;104971.38880240626;0,25
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0.0;very low;0;0;F;2785;151.64418604958837;422329.0581481036;0.403595878293277;70163.39625479458;0,2
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0.0;very low;0;0;D;2785;238.12317572884623;663173.0444048367;0.4258098676901435;71587.79607877368;0,2
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0.0;very low;0;0;B;2785;119.98924360409114;334170.04343739385;0.6151476328499145;108331.03480056251;0,3
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0.0;very low;0;0;G;2785;183.17260571407328;510135.7069136941;0.4325335027572648;158211.7952197256;0,2
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0.0;very low;0;0;A+;2785;107.98121933530963;300727.6958488373;0.41224904918044597;48325.36675045917;0,2
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0.0;very low;0;0;F;2785;271.401977514155;755854.5073769217;0.4184429426766693;226769.82242846958;0,2
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0.0;very low;0;0;H;2785;157.92078919570798;439809.39791004674;0.50740866244648;197960.5280410605;0,25
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0.0;very low;0;0;F;4851;111.47577552236602;540768.9870589976;0.48761376262018197;123396.04312360726;0,2
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0.0;very low;0;0;D;4851;103.20473048668855;500646.14759092615;0.47287854006662067;101172.55387537411;0,2
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0.0;very low;0;0;C;4851;108.89859439172196;528267.0813942432;0.46479667443783546;65925.15377667501;0,2
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0.0;very low;0;0;F;3518;109.8769060405647;386546.95545070665;0.6268214049939005;217990.2393740102;0,3
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0.0;very low;0;0;E;3518;195.9318009126523;689288.0756107108;0.4340970621512049;288753.295554922;0,25
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0.0;very low;0;0;F;3518;112.6759317678883;396393.927959431;0.43788237338717234;172688.8633129909;0,25
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0.0;very low;0;0;E;4851;112.33189748857231;544922.0347170642;0.5476799824594021;151977.03285415206;0,2
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0.0;very low;0;0;D;4851;107.79278298818521;522902.7902756864;0.44722041665250994;129682.54118623045;0,2
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0.0;very low;0;0;B;3518;115.12272469938108;405001.74549242266;0.7967020149289735;148473.8156351035;0,3
