ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht
Miltenberg;Landkreis Miltenberg;4,97E+15;9,16E+15;;0;very low;0,00;0,00;D;2785;87,61;243991,11;0,3322;81057,98;0,20
Miltenberg;Landkreis Miltenberg;4,97E+15;9,22E+15;;0;very low;0,00;0,00;E;2785;77,70;216403,02;0,6036;130615,79;0,30
Kirchzell;Landkreis Miltenberg;4,96E+16;9,19E+15;;0;very low;0,00;0,00;A+;2785;64,12;178583,34;0,5878;104965,19;0,25
Amorbach;Landkreis Miltenberg;4,97E+14;9,11E+15;;0;very low;0,00;0,00;F;2785;125,15;348551,06;0,2013;70154,46;0,20
Eichenbühl;Landkreis Miltenberg;4,95E+15;9,45E+15;;0;very low;0,00;0,00;D;2785;196,52;547306,78;0,1308;71577,97;0,20
Eichenbühl;Landkreis Miltenberg;4,96E+15;9,37E+15;;0;very low;0,00;0,00;B;2785;60,00;167100,00;0,6483;108328,64;0,30
Eichenbühl;Landkreis Miltenberg;4,96E+15;9,35E+15;;0;very low;0,00;0,00;G;2785;151,17;420999,58;0,3758;158227,27;0,20
Bürgstadt;Landkreis Miltenberg;4,97E+16;9,29E+15;;0;very low;0,00;0,00;A+;2785;60,00;167100,00;0,2892;48328,67;0,20
Eichenbühl;Landkreis Miltenberg;4,97E+15;9,40E+15;;0;very low;0,00;0,00;F;2785;314,26;875220,39;0,2591;226743,91;0,20
Weilbach;Landkreis Miltenberg;4,97E+15;9,14E+14;;0;very low;0,00;0,00;H;2785;130,33;362963,58;0,5454;197953,21;0,25
Oberstdorf;Landkreis Oberallgäu;4,73E+15;1,02E+16;;0;very low;0,00;0,00;F;4851;66,23;321259,89;0,3841;123388,16;0,20
Oberstdorf;Landkreis Oberallgäu;4,74E+16;1,03E+16;;0;very low;0,00;0,00;D;4851;60,00;291060,00;0,3476;101170,22;0,20
