ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0.0;very low;0;0;D;1448.46;117.42;170074.51;0.64;108047.48;0,2;True;True;1
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0.0;very low;0;0;E;1448.46;116.0;168016.61;0.43;72864.98;0,3;True;True;2
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0.0;very low;0;0;A+;1448.46;125.49;181767.79;0.5;90275.56;0,25;True;True;3
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0.0;very low;0;0;F;1448.46;98.07;142053.23;0.46;66045.3;0,2;True;True;4
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0.0;very low;0;0;D;1448.46;103.43;149820.92;0.64;95750.31;0,2;True;True;5
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0.0;very low;0;0;B;1448.46;128.7;186423.51;0.57;106776.53;0,3;True;True;6
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0.0;very low;0;0;G;1448.46;80.0;115877.11;0.47;54007.11;0,2;True;True;7
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0.0;very low;0;0;A+;1448.46;101.26;146669.58;0.58;85761.34;0,2;True;True;8
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0.0;very low;0;0;F;1448.46;108.62;157338.77;0.68;107225.63;0,2;True;True;9
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0.0;very low;0;0;H;1448.46;80.0;115877.11;0.72;82898.02;0,25;True;True;10
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0.0;very low;0;0;F;2522.98;106.39;268422.76;0.67;181047.62;0,2;True;True;11
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0.0;very low;0;0;D;2522.98;161.87;408386.73;0.55;223018.94;0,2;True;True;12
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0.0;very low;0;0;C;2522.98;156.1;393841.21;0.58;228105.26;0,2;True;True;13
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0.0;very low;0;0;F;1829.69;113.5;207677.9;0.65;134989.15;0,3;True;True;14
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0.0;very low;0;0;E;1829.69;111.78;204519.95;0.61;125349.29;0,25;True;True;15
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0.0;very low;0;0;F;1829.69;124.36;227549.31;0.64;144678.54;0,25;True;True;16
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0.0;very low;0;0;E;2522.98;120.15;303147.79;0.75;227360.84;0,2;True;True;17
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0.0;very low;0;0;D;2522.98;88.19;222500.57;0.66;146999.85;0,2;True;True;18
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0.0;very low;0;0;B;1829.69;108.68;198846.89;0.56;112086.02;0,3;True;True;19
Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;0.0;very low;0;0;F;2522.98;126.38;318853.73;0.75;239140.3;0,2;True;True;20
Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;0.0;very low;0;0;F;2522.98;149.79;377924.24;0.73;276143.14;0,2;True;True;21
Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;0.0;very low;0;0;H;2522.98;168.17;424279.2;0.75;318209.4;0,3;True;True;22
Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;0.0;very low;0;0;A;2522.98;99.8;251797.8;0.63;157600.35;0,25;True;True;23
Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;0.0;very low;0;0;B;2032.01;139.4;283270.23;0.75;212452.67;0,3;True;True;24
Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;0.0;very low;0;0;B;2522.98;80.0;201838.37;0.52;104093.81;0,2;True;True;25
Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;0.0;very low;0;0;D;2522.98;80.0;201838.37;0.47;93865.08;0,2;True;True;26
Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;0.0;very low;0;0;F;2522.98;80.0;201838.37;0.45;90385.4;0,2;True;True;27
Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;0.0;very low;0;0;C;2522.98;80.0;201838.37;0.63;128029.99;0,3;True;True;28
Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;0.0;very low;0;0;E;2522.98;119.77;302166.9;0.56;170593.83;0,2;True;True;29
Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;0.0;very low;0;0;D;2522.98;81.2;204859.18;0.56;114361.14;0,3;True;True;30
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;0.0;very low;0;0;A;2522.98;80.0;201838.37;0.48;96330.38;0,2;True;True;31
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;0.0;very low;0;0;A;2522.98;80.0;201838.37;0.61;122761.89;0,2;True;True;32
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;0.0;very low;0;0;D;2522.98;85.98;216934.15;0.66;142641.31;0,2;True;True;33
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;0.0;very low;0;0;H;2522.98;148.11;373685.33;0.7;261382.37;0,25;True;True;34
Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;0.0;very low;0;0;H;2522.98;129.47;326648.3;0.75;244986.22;0,25;True;True;35
Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;0.0;very low;0;0;G;2522.98;80.0;201838.37;0.48;95898.44;0,2;True;True;36
Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;0.0;very low;0;0;E;2522.98;80.0;201838.37;0.75;151378.78;0,2;True;True;37
