ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0.0;very low;0;0;D;1448.4639081702708;117.4171557143104;170074.51225218727;0.6352949747452007;108047.48296605564;0,2;True;True
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0.0;very low;0;0;E;1448.4639081702708;115.99640918220855;168016.6121777797;0.43367721467431897;72864.97638827476;0,3;True;True
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0.0;very low;0;0;A+;1448.4639081702708;125.49003565056253;181767.7874748404;0.49665321320072553;90275.55570576608;0,25;True;True
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0.0;very low;0;0;F;1448.4639081702708;98.07163724985084;142053.22697157605;0.46493344488495414;66045.29617291913;0,2;True;True
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0.0;very low;0;0;D;1448.4639081702708;103.43434896407797;149820.92133955596;0.6390983651613341;95750.30589507506;0,2;True;True
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0.0;very low;0;0;B;1448.4639081702708;128.70428530850003;186423.51209621152;0.5727631941548363;106776.52625378888;0,3;True;True
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0.0;very low;0;0;G;1448.4639081702708;80.0;115877.11265362166;0.4660722670216043;54007.10859039128;0,2;True;True
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0.0;very low;0;0;A+;1448.4639081702708;101.25870563164565;146669.58049547646;0.5847248179919837;85761.34376017808;0,2;True;True
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0.0;very low;0;0;F;1448.4639081702708;108.62457060473973;157338.7700614588;0.6814952545749127;107225.62515753752;0,2;True;True
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0.0;very low;0;0;H;1448.4639081702708;80.0;115877.11265362166;0.7153959963452833;82898.0224604523;0,25;True;True
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0.0;very low;0;0;F;2522.9796834951467;106.39117164395701;268422.7645609485;0.6744868463807825;181047.6239655254;0,2;True;True
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0.0;very low;0;0;D;2522.9796834951467;161.86683344225617;408386.7322065051;0.546097409895485;223018.9366936535;0,2;True;True
