plz;ort;landkreis;latitude;longitude;fluvial/HQ;AEP;floodrisk
82319;Starnberg;;48.012.832;11.353.094;HQ29;5,00%;High
637390;Aschaffenburg;;4,99725E+15;9,1401E+15;0,218;0,25%;Low
637390;Aschaffenburg;;4,99818E+15;9,18336E+14;0,218;0,25%;Low
637390;Aschaffenburg;;4,99802E+15;9,1393E+15;0,218;0,25%;Low
637390;Aschaffenburg;;4,9974E+15;9,18968E+15;0,218;0,25%;Low
637390;Aschaffenburg;;4,99804E+15;9,18094E+15;0,218;0,25%;Low
637390;Aschaffenburg;;4,99831E+15;9,15827E+15;0,218;0,25%;Low
637390;Aschaffenburg;;4,99815E+16;9,17851E+15;0,218;0,25%;Low
637390;Aschaffenburg;;4,99723E+15;9,17137E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99616E+15;9,10238E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99713E+15;9,08891E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99672E+16;9,09505E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99918E+16;9,16637E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99891E+15;9,15667E+14;0,218;0,25%;Low
637410;Aschaffenburg;;4,99913E+15;9,13513E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99479E+16;9,0892E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99945E+15;9,09328E+15;0,218;0,25%;Low
637410;Aschaffenburg;;4,99939E+15;9,15429E+14;0,218;0,25%;Low
637430;Aschaffenburg;;4,9933E+15;9,13579E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99357E+15;9,14423E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99439E+15;9,21759E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99501E+15;9,15674E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99514E+15;9,15753E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,9951E+16;9,14284E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99698E+16;9,16252E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99384E+16;9,13097E+15;0,218;0,25%;Low
637430;Aschaffenburg;;4,99426E+15;9,131E+15;0,218;0,25%;Low
637550;Alzenau;Landkreis Aschaffenburg;5,01031E+16;9,08328E+15;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,01105E+15;9,08022E+15;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,00956E+15;9,07439E+15;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,01059E+15;9,06407E+15;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,00773E+16;9,0472E+15;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,0077E+15;9,11366E+14;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,00668E+13;9,02976E+15;0,031;0,03%;Very Low
637550;Alzenau;Landkreis Aschaffenburg;5,00618E+15;9,06351E+14;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,99016E+16;9,10173E+15;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,99309E+15;9,04969E+15;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,9901E+15;9,06294E+15;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,98867E+15;9,03815E+15;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,99136E+15;9,06574E+13;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,98928E+16;9,05185E+15;0,031;0,03%;Very Low
637620;Großostheim;Landkreis Aschaffenburg;4,99281E+15;9,03317E+15;0,031;0,03%;Very Low
637680;Hösbach;Landkreis Aschaffenburg;5,00325E+16;9,19314E+14;0,031;0,03%;Very Low
637680;Hösbach;Landkreis Aschaffenburg;5,00084E+15;9,21048E+15;0,031;0,03%;Very Low
637680;Hösbach;Landkreis Aschaffenburg;5,00044E+15;9,2328E+15;0,031;0,03%;Very Low
637680;Hösbach;Landkreis Aschaffenburg;4,99972E+15;9,21366E+14;0,031;0,03%;Very Low
637680;Hösbach;Landkreis Aschaffenburg;5,0041E+16;9,21032E+15;0,031;0,03%;Very Low
637680;Hösbach;Landkreis Aschaffenburg;5,00259E+16;9,21648E+15;0,031;0,03%;Very Low
637730;Goldbach;Landkreis Aschaffenburg;4,99886E+15;9,18311E+15;0,031;0,03%;Very Low
637730;Goldbach;Landkreis Aschaffenburg;5,00226E+15;9,17065E+15;0,031;0,03%;Very Low
637730;Goldbach;Landkreis Aschaffenburg;4,99966E+16;9,17268E+15;0,031;0,03%;Very Low
