ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht
Miltenberg;Landkreis Miltenberg;4970310000000000;9159270000000000;;0,0;very low;0,0;0,0;D;2785;87,61;243991,11;0,3322;81057,98;0,2
Miltenberg;Landkreis Miltenberg;4970620000000000;9223220000000000;;0,0;very low;0,0;0,0;E;2785;77,7;216403,02;0,6036;130615,79;0,3
Kirchzell;Landkreis Miltenberg;49599100000000000;9187350000000000;;0,0;very low;0,0;0,0;A+;2785;64,12;178583,34;0,5878;104965,19;0,25
Amorbach;Landkreis Miltenberg;496526000000000;9106240000000000;;0,0;very low;0,0;0,0;F;2785;125,15;348551,06;0,2013;70154,46;0,2
Eichenbühl;Landkreis Miltenberg;4950950000000000;9451560000000000;;0,0;very low;0,0;0,0;D;2785;196,52;547306,78;0,1308;71577,97;0,2
Eichenbühl;Landkreis Miltenberg;4959890000000000;9371170000000000;;0,0;very low;0,0;0,0;B;2785;60,0;167100,0;0,6483;108328,64;0,3
Eichenbühl;Landkreis Miltenberg;4958330000000000;9351470000000000;;0,0;very low;0,0;0,0;G;2785;151,17;420999,58;0,3758;158227,27;0,2
Bürgstadt;Landkreis Miltenberg;49724200000000000;9289860000000000;;0,0;very low;0,0;0,0;A+;2785;60,0;167100,0;0,2892;48328,67;0,2
Eichenbühl;Landkreis Miltenberg;4966470000000000;9403570000000000;;0,0;very low;0,0;0,0;F;2785;314,26;875220,39;0,2591;226743,91;0,2
Weilbach;Landkreis Miltenberg;4969380000000000;913865000000000;;0,0;very low;0,0;0,0;H;2785;130,33;362963,58;0,5454;197953,21;0,25
Oberstdorf;Landkreis Oberallgäu;4729920000000000;10231200000000000;;0,0;very low;0,0;0,0;F;4851;66,23;321259,89;0,3841;123388,16;0,2
Oberstdorf;Landkreis Oberallgäu;47431700000000000;10285700000000000;;0,0;very low;0,0;0,0;D;4851;60,0;291060,0;0,3476;101170,22;0,2
Oberstdorf;Landkreis Oberallgäu;4739470000000000;10303600000000000;;0,0;very low;0,0;0,0;C;4851;60,0;291060,0;0,2265;65937,78;0,2
Pfaffenhausen;Landkreis Unterallgäu;4811690000000000;10440200000000000;;0,0;very low;0,0;0,0;F;3518;90,68;319025,36;0,6833;217996,02;0,3
Breitenbrunn;Landkreis Unterallgäu;4816300000000000;10366500000000000;;0,0;very low;0,0;0,0;E;3518;161,7;568859,37;0,5076;288764,58;0,25
Kirchheim in Schwaben;Landkreis Unterallgäu;4817130000000000;10465600000000000;;0,0;very low;0,0;0,0;F;3518;92,99;327123,88;0,5279;172700,64;0,25
Dietmannsried;Landkreis Oberallgäu;477993000000000;10303400000000000;;0,0;very low;0,0;0,0;E;4851;70,15;340297,55;0,4466;151978,42;0,2
Dietmannsried;Landkreis Oberallgäu;4782940000000000;1030050000000000;;0,0;very low;0,0;0,0;D;4851;88,96;431555,46;0,3005;129674,71;0,2
Legau;Landkreis Unterallgäu;4786460000000000;10183300000000000;;0,0;very low;0,0;0,0;B;3518;60,0;211080,0;0,7034;148481,97;0,3
Altusried;Landkreis Oberallgäu;47792800000000000;10228600000000000;;0,0;very low;0,0;0,0;F;4851;111,11;539002,09;0,4278;230561,37;0,2
Altusried;Landkreis Oberallgäu;4779460000000000;10190300000000000;;0,0;very low;0,0;0,0;F;4851;421,02;2042390,02;0,0907;185220,22;0,2
Altusried;Landkreis Oberallgäu;4778830000000000;10099400000000000;;0,0;very low;0,0;0,0;H;4851;60,0;291060,0;0,6356;184997,49;0,3
Oy-Mittelberg;Landkreis Oberallgäu;4764990000000000;10501900000000000;;0,0;very low;0,0;0,0;A;4851;60,0;291060,0;0,5435;158190,43;0,25
Nesselwang;Landkreis Ostallgäu;47613300000000000;10496500000000000;;0,0;very low;0,0;0,0;B;3907;60,0;234420,0;0,6047;141757,32;0,3
Wertach;Landkreis Oberallgäu;4758530000000000;10391000000000000;;0,0;very low;0,0;0,0;B;4851;60,0;291060,0;0,4647;135245,56;0,2
Bad Hindelang;Landkreis Oberallgäu;4747010000000000;10363400000000000;;0,0;very low;0,0;0,0;D;4851;60,0;291060,0;0,4885;142184,92;0,2
Rettenberg;Landkreis Oberallgäu;4754910000000000;10295600000000000;;0,0;very low;0,0;0,0;F;4851;68,56;332604,17;0,4338;144286,57;0,2
Burgberg i.Allgäu;Landkreis Oberallgäu;4754590000000000;1028230000000000;;0,0;very low;0,0;0,0;C;4851;60,0;291060,0;0,728;211900,18;0,3
Blaichach;Landkreis Oberallgäu;4748070000000000;10122800000000000;;0,0;very low;0,0;0,0;E;4851;148,69;721304,18;0,0927;66883,01;0,2
Blaichach;Landkreis Oberallgäu;4749440000000000;1019050000000000;;0,0;very low;0,0;0,0;D;4851;63,92;310077,44;0,6767;209843,36;0,3
Immenstadt im Allgäu;Landkreis Oberallgäu;4757260000000000;10227400000000000;;0,0;very low;0,0;0,0;A;4851;147,1;713594,24;0,1434;102358,78;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4757840000000000;10134600000000000;;0,0;very low;0,0;0,0;A;4851;219,96;1067006,41;0,0685;73057,98;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4753460000000000;10206000000000000;;0,0;very low;0,0;0,0;D;4851;60,0;291060,0;0,3946;114865,12;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4758540000000000;10239400000000000;;0,0;very low;0,0;0,0;H;4851;87,61;424981,58;0,5233;222386,13;0,25
Oberstaufen;Landkreis Oberallgäu;47500000000000000;1001510000000000;;0,0;very low;0,0;0,0;H;4851;60,0;291060,0;0,5722;166549,81;0,25
Oberstaufen;Landkreis Oberallgäu;4757320000000000;10037500000000000;;0,0;very low;0,0;0,0;G;4851;113,75;551798,19;0,4035;222665,87;0,2
Wiggensbach;Landkreis Oberallgäu;4771660000000000;10238500000000000;;0,0;very low;0,0;0,0;E;4851;89,95;436365,99;0,2746;119818,23;0,2
Gaukönigshofen;Landkreis Würzburg;49630300000000000;100067000000000;;0,0;very low;0,0;0,0;A+;3022;101,06;305395,31;0,5236;159904,91;0,25
Leinach;Landkreis Würzburg;4982840000000000;9820560000000000;;0,0;very low;0,0;0,0;D;3022;317,74;960200,61;0,2267;217657,18;0,2
Roßtal;Landkreis Fürth;4938770000000000;10924500000000000;;0,0;very low;0,0;0,0;E;4602;97,09;446826,74;0,5623;251265,41;0,25
Roßtal;Landkreis Fürth;4941010000000000;10858700000000000;;0,0;very low;0,0;0,0;A;4602;77,36;356032,5;0,7193;256090,38;0,3
