ID,ort,landkreis,latitude,longitude,GEB_HQ,flood_risk,Energieklasse,Quadratmeterpreise,aktuelles_LtV,darlehenbetrag,aktueller_immobilienwert,wohnflaeche,Schadensfaktor
1,Miltenberg,Landkreis Miltenberg,49.70305975890085,9.159273153617246,,very low,D,2785,"0,3322","81057,98","243991,11","87,61","0,04"
2,Miltenberg,Landkreis Miltenberg,49.70621549364645,9.223217257484222,,very low,E,2785,"0,6036","130615,79","216403,02","77,7","0,04"
3,Kirchzell,Landkreis Miltenberg,49.599094083280185,9.187345816330076,,very low,A+,2785,"0,5878","104965,19","178583,34","64,12","0,04"
4,Amorbach,Landkreis Miltenberg,49.6525893032024,9.106239428569848,,very low,F,2785,"0,2013","70154,46","348551,06","125,15","0,04"
5,Eichenbühl,Landkreis Miltenberg,49.50951202168092,9.451564694355245,,very low,D,2785,"0,1308","71577,97","547306,78","196,52","0,04"
6,Eichenbühl,Landkreis Miltenberg,49.59888520199987,9.371168975649438,,very low,B,2785,"0,6483","108328,64",167100,60,"0,04"
7,Eichenbühl,Landkreis Miltenberg,49.58333693928259,9.351474680680544,,very low,G,2785,"0,3758","158227,27","420999,58","151,17","0,04"
8,Bürgstadt,Landkreis Miltenberg,49.724194344200896,9.289860827090996,,very low,A+,2785,"0,2892","48328,67",167100,60,"0,04"
9,Eichenbühl,Landkreis Miltenberg,49.66474423839972,9.403569112017133,,very low,F,2785,"0,2591","226743,91","875220,39","314,26","0,04"
10,Weilbach,Landkreis Miltenberg,49.69377919130996,9.13865270363411,,very low,H,2785,"0,5454","197953,21","362963,58","130,33","0,04"
11,Oberstdorf,Landkreis Oberallgäu,47.29915387983811,10.231221665991738,,very low,F,4851,"0,3841","123388,16","321259,89","66,23","0,04"
12,Oberstdorf,Landkreis Oberallgäu,47.431743042205504,10.285697885509018,,very low,D,4851,"0,3476","101170,22",291060,60,"0,04"
13,Oberstdorf,Landkreis Oberallgäu,47.39466592480808,10.303596384179002,,very low,C,4851,"0,2265","65937,78",291060,60,"0,04"
14,Pfaffenhausen,Landkreis Unterallgäu,48.11687401675709,10.440224073497085,,very low,F,3518,"0,6833","217996,02","319025,36","90,68","0,04"
15,Breitenbrunn,Landkreis Unterallgäu,48.16303584944135,10.366450915963386,,very low,E,3518,"0,5076","288764,58","568859,37","161,7","0,04"
16,Kirchheim in Schwaben,Landkreis Unterallgäu,48.17125137567327,10.465580138164851,,very low,F,3518,"0,5279","172700,64","327123,88","92,99","0,04"
17,Dietmannsried,Landkreis Oberallgäu,47.7992590707179,10.303389355397812,,very low,E,4851,"0,4466","151978,42","340297,55","70,15","0,04"
18,Dietmannsried,Landkreis Oberallgäu,47.82941150012383,10.30052507623335,,very low,D,4851,"0,3005","129674,71","431555,46","88,96","0,04"
19,Legau,Landkreis Unterallgäu,47.86459480271278,10.183316739564912,,very low,B,3518,"0,7034","148481,97",211080,60,"0,04"
20,Altusried,Landkreis Oberallgäu,47.792792125117785,10.228637242971928,,very low,F,4851,"0,4278","230561,37","539002,09","111,11","0,04"
21,Altusried,Landkreis Oberallgäu,47.79461818113671,10.190286657046494,,very low,F,4851,"0,0907","185220,22","2042390,02","421,02","0,04"
22,Altusried,Landkreis Oberallgäu,47.78831732992335,10.099445470347067,,very low,H,4851,"0,6356","184997,49",291060,60,"0,04"
23,Oy-Mittelberg,Landkreis Oberallgäu,47.64994050482731,10.501914385266476,,very low,A,4851,"0,5435","158190,43",291060,60,"0,04"
24,Nesselwang,Landkreis Ostallgäu,47.613267385277005,10.496543491368154,,very low,B,3907,"0,6047","141757,32",234420,60,"0,04"
25,Wertach,Landkreis Oberallgäu,47.58525130083094,10.390977643638848,,very low,B,4851,"0,4647","135245,56",291060,60,"0,04"
26,Bad Hindelang,Landkreis Oberallgäu,47.47012731185871,10.363397038479048,,very low,D,4851,"0,4885","142184,92",291060,60,"0,04"
27,Rettenberg,Landkreis Oberallgäu,47.54910847519589,10.295565366600526,,very low,F,4851,"0,4338","144286,57","332604,17","68,56","0,04"
28,Burgberg i.Allgäu,Landkreis Oberallgäu,47.54593309170383,10.28234413230435,,very low,C,4851,"0,728","211900,18",291060,60,"0,04"
29,Blaichach,Landkreis Oberallgäu,47.48072295067167,10.122760649814603,,very low,E,4851,"0,0927","66883,01","721304,18","148,69","0,04"
30,Blaichach,Landkreis Oberallgäu,47.49444806320332,10.19053140520785,,very low,D,4851,"0,6767","209843,36","310077,44","63,92","0,04"
31,Immenstadt im Allgäu,Landkreis Oberallgäu,47.57259335683116,10.227377708402717,,very low,A,4851,"0,1434","102358,78","713594,24","147,1","0,04"
32,Immenstadt im Allgäu,Landkreis Oberallgäu,47.57839651335959,10.134564745592588,,very low,A,4851,"0,0685","73057,98","1067006,41","219,96","0,04"
33,Immenstadt im Allgäu,Landkreis Oberallgäu,47.53457588668817,10.206033346860448,,very low,D,4851,"0,3946","114865,12",291060,60,"0,04"
34,Immenstadt im Allgäu,Landkreis Oberallgäu,47.58541887457138,10.239446784985962,,very low,H,4851,"0,5233","222386,13","424981,58","87,61","0,04"
35,Oberstaufen,Landkreis Oberallgäu,47.500042109583546,10.01510616839948,,very low,H,4851,"0,5722","166549,81",291060,60,"0,04"
36,Oberstaufen,Landkreis Oberallgäu,47.57322458450016,10.037538671350438,,very low,G,4851,"0,4035","222665,87","551798,19","113,75","0,04"
37,Wiggensbach,Landkreis Oberallgäu,47.71656134180882,10.238463120138746,,very low,E,4851,"0,2746","119818,23","436365,99","89,95","0,04"
38,Gaukönigshofen,Landkreis Würzburg,49.630270696782205,10.0067438799832,,very low,A+,3022,"0,5236","159904,91","305395,31","101,06","0,04"
39,Leinach,Landkreis Würzburg,49.82839451676303,9.820564029686103,,very low,D,3022,"0,2267","217657,18","960200,61","317,74","0,04"
40,Roßtal,Landkreis Fürth,49.38773828098168,10.924485780557523,,very low,E,4602,"0,5623","251265,41","446826,74","97,09","0,04"
41,Roßtal,Landkreis Fürth,49.41008636655375,10.858722774804605,,very low,A,4602,"0,7193","256090,38","356032,5","77,36","0,04"
42,Roßtal,Landkreis Fürth,49.37436063148687,10.868999962317506,,very low,C,4602,"0,4721","210094,43","444994,57","96,7","0,04"
43,Großhabersdorf,Landkreis Fürth,49.40828770164047,10.814710564211955,,very low,G,4602,"0,4538","125314,21",276120,60,"0,04"
44,Burgthann,Landkreis Nürnberger Land,49.3284379278717,11.381705752827024,,very low,B,3585,"0,4604","99030,75",215100,60,"0,04"
45,Burgthann,Landkreis Nürnberger Land,49.33243329404823,11.313382580146223,,very low,G,3585,"0,2164","106334,17","491400,22","137,07","0,04"
46,Burgthann,Landkreis Nürnberger Land,49.35686502748877,11.308296766631033,,very low,C,3585,"0,6251","134450,52",215100,60,"0,04"
47,Allersberg,Landkreis Roth,49.24420453904143,11.260289060587825,,very low,H,3631,"0,5428","146534,23","269972,3","74,35","0,04"
48,Allersberg,Landkreis Roth,49.25331915841,11.260371243883636,,very low,C,3631,"0,3327","228318,34","686265,11",189,"0,04"
49,Pyrbaum,Landkreis Neumarkt in der Oberpfalz,49.290958375205,11.26516276659432,,very low,D,3013,"0,4655","192454,96","413402,97","137,21","0,04"
50,Pyrbaum,Landkreis Neumarkt in der Oberpfalz,49.29942376133295,11.307503790640256,,very low,D,3013,"0,5617","138653,32","246848,9","81,93","0,04"
51,Dasing,Landkreis Aichach-Friedberg,48.37545084037615,11.038261844449607,,very low,G,4487,"0,5386","144990,85",269220,60,"0,04"
52,Wildpoldsried,Landkreis Oberallgäu,47.78638465607939,10.397595164899764,,very low,H,4851,"0,4874","141867,06",291060,60,"0,04"
53,Haldenwang,Landkreis Oberallgäu,47.80547095589036,10.34214812187928,,very low,G,4851,"0,533","155136,91",291060,60,"0,04"
54,Collenberg,Landkreis Miltenberg,49.78712216347393,9.325771199441617,,very low,C,2785,"0,3781","89723,53","237302,3","85,21","0,04"
55,Babenhausen,Landkreis Unterallgäu,48.15445018958698,10.214040453771087,,very low,C,3518,"0,2984","153626,35","514828,29","146,34","0,04"
56,Erkheim,Landkreis Unterallgäu,48.05289620664964,10.320955872176802,,very low,D,3518,"0,4235","89398,29",211080,60,"0,04"
57,Boos,Landkreis Unterallgäu,48.0869289499292,10.225373823498376,,very low,C,3518,"0,6834","144250,36",211080,60,"0,04"
58,Biessenhofen,Landkreis Ostallgäu,47.83568995555122,10.64829479480845,,very low,A+,3907,"0,3933","92201,32",234420,60,"0,04"
59,Mauerstetten,Landkreis Ostallgäu,47.89012884141513,10.677414021112806,,very low,G,3907,"0,733","171838,09",234420,60,"0,04"
60,Stöttwang,Landkreis Ostallgäu,47.861217512179245,10.68659011772407,,very low,A+,3907,"0,4109","135000,8","328562,15","84,1","0,04"
61,Germaringen,Landkreis Ostallgäu,47.955236760794,10.68362697229266,,very low,H,3907,"0,2014","136933,53","679790,91","173,99","0,04"
62,Pforzen,Landkreis Ostallgäu,47.94044739159412,10.599801472337097,,very low,C,3907,"0,4942","115849,88",234420,60,"0,04"
63,Markt Rettenbach,Landkreis Unterallgäu,47.956926052851806,10.358868850533009,,very low,E,3518,"0,588","243791,49","414584,96","117,85","0,04"
64,Ottobeuren,Landkreis Unterallgäu,47.94442003866994,10.3407478845051,,very low,C,3518,"0,644","135941,73",211080,60,"0,04"
65,Ottobeuren,Landkreis Unterallgäu,47.934642692876174,10.279192591612512,,very low,F,3518,"0,4336","100438,5","231623,86","65,84","0,04"
66,Wolfertschwenden,Landkreis Unterallgäu,47.91136717399361,10.248092714171351,,very low,H,3518,"0,6714","141715,31",211080,60,"0,04"
67,Buxheim,Landkreis Unterallgäu,48.00360556852675,10.122599776438346,,very low,F,3518,"0,5784","122098,28",211080,60,"0,04"
68,Woringen,Landkreis Unterallgäu,47.925756495124816,10.196963273844538,,very low,D,3518,"0,6272","132378,89",211080,60,"0,04"
69,Bad Grönenbach,Landkreis Unterallgäu,47.87131710992917,10.216223226588076,,very low,B,3518,"0,1832","116159,62","634044,96","180,23","0,04"
70,Würzburg,,49.77830645265083,9.935961041192122,,very low,E,3022,"0,4798","141770,35","295469,38","97,77","0,04"
71,Würzburg,,49.7857990427725,9.93336124791411,,very low,H,3022,"0,7274","131893,29",181320,60,"0,04"
72,Würzburg,,49.78013379371157,9.939063401986868,,very low,C,3022,"0,6022","109195,99",181320,60,"0,04"
73,Würzburg,,49.78985136062256,9.944099679358128,,very low,A+,3022,"0,0673","98377,81","1460710,1","483,36","0,04"
74,Würzburg,,49.77405638165027,9.934736023176722,,very low,A,3022,"0,2431","76911,62","316421,56","104,71","0,04"
75,Mindelheim,Landkreis Unterallgäu,48.07307150131845,10.501206452899805,,very low,F,3518,"0,1569","47915,78","305480,86","86,83","0,04"
76,Mindelheim,Landkreis Unterallgäu,48.0431793879329,10.538861670487591,,very low,A+,3518,"0,6298","138872,72","220503,94","62,68","0,04"
77,Mindelheim,Landkreis Unterallgäu,48.036653865459606,10.453828934363075,,very low,E,3518,"0,6976","147257,75",211080,60,"0,04"
78,Mindelheim,Landkreis Unterallgäu,48.071691814525614,10.518412626419776,,very low,D,3518,"0,2677","86764,29","324075,51","92,12","0,04"
79,Würzburg,,49.79976360695602,9.926878045549152,,very low,B,3022,"0,6782","122965,48",181320,60,"0,04"
80,Würzburg,,49.79940294793986,9.927003877124486,,very low,C,3022,"0,4127","88024,26","213272,35","70,57","0,04"
81,Würzburg,,49.79881932731556,9.93083283258138,,very low,C,3022,"0,475","86130,29",181320,60,"0,04"
