ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0,0;very low;0,0;0,0;D;2785,0;87,61;243991,11;0,3322;81057,98;0,2
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0,0;very low;0,0;0,0;E;2785,0;77,7;216403,02;0,6036;130615,79;0,3
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0,0;very low;0,0;0,0;A+;2785,0;64,12;178583,34;0,5878;104965,19;0,25
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0,0;very low;0,0;0,0;F;2785,0;125,15;348551,06;0,2013;70154,46;0,2
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0,0;very low;0,0;0,0;D;2785,0;196,52;547306,78;0,1308;71577,97;0,2
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0,0;very low;0,0;0,0;B;2785,0;60,0;167100,0;0,6483;108328,64;0,3
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0,0;very low;0,0;0,0;G;2785,0;151,17;420999,58;0,3758;158227,27;0,2
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0,0;very low;0,0;0,0;A+;2785,0;60,0;167100,0;0,2892;48328,67;0,2
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0,0;very low;0,0;0,0;F;2785,0;314,26;875220,39;0,2591;226743,91;0,2
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0,0;very low;0,0;0,0;H;2785,0;130,33;362963,58;0,5454;197953,21;0,25
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0,0;very low;0,0;0,0;F;4851,0;66,23;321259,89;0,3841;123388,16;0,2
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0,0;very low;0,0;0,0;D;4851,0;60,0;291060,0;0,3476;101170,22;0,2
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0,0;very low;0,0;0,0;C;4851,0;60,0;291060,0;0,2265;65937,78;0,2
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0,0;very low;0,0;0,0;F;3518,0;90,68;319025,36;0,6833;217996,02;0,3
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0,0;very low;0,0;0,0;E;3518,0;161,7;568859,37;0,5076;288764,58;0,25
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0,0;very low;0,0;0,0;F;3518,0;92,99;327123,88;0,5279;172700,64;0,25
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0,0;very low;0,0;0,0;E;4851,0;70,15;340297,55;0,4466;151978,42;0,2
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0,0;very low;0,0;0,0;D;4851,0;88,96;431555,46;0,3005;129674,71;0,2
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0,0;very low;0,0;0,0;B;3518,0;60,0;211080,0;0,7034;148481,97;0,3
Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;0,0;very low;0,0;0,0;F;4851,0;111,11;539002,09;0,4278;230561,37;0,2
Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;0,0;very low;0,0;0,0;F;4851,0;421,02;2042390,02;0,0907;185220,22;0,2
Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;0,0;very low;0,0;0,0;H;4851,0;60,0;291060,0;0,6356;184997,49;0,3
Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;0,0;very low;0,0;0,0;A;4851,0;60,0;291060,0;0,5435;158190,43;0,25
Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;0,0;very low;0,0;0,0;B;3907,0;60,0;234420,0;0,6047;141757,32;0,3
Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;0,0;very low;0,0;0,0;B;4851,0;60,0;291060,0;0,4647;135245,56;0,2
Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;0,0;very low;0,0;0,0;D;4851,0;60,0;291060,0;0,4885;142184,92;0,2
Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;0,0;very low;0,0;0,0;F;4851,0;68,56;332604,17;0,4338;144286,57;0,2
Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;0,0;very low;0,0;0,0;C;4851,0;60,0;291060,0;0,728;211900,18;0,3
Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;0,0;very low;0,0;0,0;E;4851,0;148,69;721304,18;0,0927;66883,01;0,2
Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;0,0;very low;0,0;0,0;D;4851,0;63,92;310077,44;0,6767;209843,36;0,3
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;0,0;very low;0,0;0,0;A;4851,0;147,1;713594,24;0,1434;102358,78;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;0,0;very low;0,0;0,0;A;4851,0;219,96;1067006,41;0,0685;73057,98;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;0,0;very low;0,0;0,0;D;4851,0;60,0;291060,0;0,3946;114865,12;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;0,0;very low;0,0;0,0;H;4851,0;87,61;424981,58;0,5233;222386,13;0,25
Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;0,0;very low;0,0;0,0;H;4851,0;60,0;291060,0;0,5722;166549,81;0,25
Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;0,0;very low;0,0;0,0;G;4851,0;113,75;551798,19;0,4035;222665,87;0,2
Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;0,0;very low;0,0;0,0;E;4851,0;89,95;436365,99;0,2746;119818,23;0,2
Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;0,0;very low;0,0;0,0;A+;3022,0;101,06;305395,31;0,5236;159904,91;0,25
Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;0,0;very low;0,0;0,0;D;3022,0;317,74;960200,61;0,2267;217657,18;0,2
Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;0,0;very low;0,0;0,0;E;4602,0;97,09;446826,74;0,5623;251265,41;0,25
Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;0,0;very low;0,0;0,0;A;4602,0;77,36;356032,5;0,7193;256090,38;0,3
Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;0,0;very low;0,0;0,0;C;4602,0;96,7;444994,57;0,4721;210094,43;0,2
Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;0,0;very low;0,0;0,0;G;4602,0;60,0;276120,0;0,4538;125314,21;0,2
Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;0,0;very low;0,0;0,0;B;3585,0;60,0;215100,0;0,4604;99030,75;0,2
Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;0,0;very low;0,0;0,0;G;3585,0;137,07;491400,22;0,2164;106334,17;0,2
Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;0,0;very low;0,0;0,0;C;3585,0;60,0;215100,0;0,6251;134450,52;0,3
Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;0,0;very low;0,0;0,0;H;3631,0;74,35;269972,3;0,5428;146534,23;0,25
Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;0,0;very low;0,0;0,0;C;3631,0;189,0;686265,11;0,3327;228318,34;0,2
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;0,0;very low;0,0;0,0;D;3013,0;137,21;413402,97;0,4655;192454,96;0,2
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;0,0;very low;0,0;0,0;D;3013,0;81,93;246848,9;0,5617;138653,32;0,25
Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;0,0;very low;0,0;0,0;G;4487,0;60,0;269220,0;0,5386;144990,85;0,25
Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;0,0;very low;0,0;0,0;H;4851,0;60,0;291060,0;0,4874;141867,06;0,2
Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;0,0;very low;0,0;0,0;G;4851,0;60,0;291060,0;0,533;155136,91;0,25
Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;0,0;very low;0,0;0,0;C;2785,0;85,21;237302,3;0,3781;89723,53;0,2
Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;0,0;very low;0,0;0,0;C;3518,0;146,34;514828,29;0,2984;153626,35;0,2
Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;0,0;very low;0,0;0,0;D;3518,0;60,0;211080,0;0,4235;89398,29;0,2
Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;0,0;very low;0,0;0,0;C;3518,0;60,0;211080,0;0,6834;144250,36;0,3
Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;0,0;very low;0,0;0,0;A+;3907,0;60,0;234420,0;0,3933;92201,32;0,2
Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;0,0;very low;0,0;0,0;G;3907,0;60,0;234420,0;0,733;171838,09;0,3
