ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID;Immobilienschaden;EAI;Neuer Immobilienwert;Neue LtV;Risikogewicht;Neue Risikogewicht;Akt. RWA;Neue RWA;RWA Änderung
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0.0;very low;0.0;0.0;D;1448.46;117.42;170074.51;0.64;108047.48;0.3;True;True;1;0.0;0.0;170074.51;0.6352949657182607;0.3;0.3;32414.244;32414.244;0.0
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0.0;very low;0.0;0.0;E;1448.46;116.0;168016.61;0.43;72864.98;0.2;True;True;2;0.0;0.0;168016.61;0.43367724179174905;0.2;0.2;14572.996;14572.996;0.0
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0.0;very low;0.0;0.0;A+;1448.46;125.49;181767.79;0.5;90275.56;0.2;True;True;3;0.0;0.0;181767.79;0.4966532299259401;0.2;0.2;18055.112;18055.112;0.0
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0.0;very low;0.0;0.0;F;1448.46;98.07;142053.23;0.46;66045.3;0.2;True;True;4;0.0;0.0;142053.23;0.46493346191424156;0.2;0.2;13209.060000000001;13209.060000000001;0.0
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0.0;very low;0.0;0.0;D;1448.46;103.43;149820.92;0.64;95750.31;0.3;True;True;5;0.0;0.0;149820.92;0.6390983982744198;0.3;0.3;28725.092999999997;28725.092999999997;0.0
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0.0;very low;0.0;0.0;B;1448.46;128.7;186423.51;0.57;106776.53;0.25;True;True;6;0.0;0.0;186423.51;0.5727632206903517;0.25;0.25;26694.1325;26694.1325;0.0
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0.0;very low;0.0;0.0;G;1448.46;80.0;115877.11;0.47;54007.11;0.2;True;True;7;0.0;0.0;115877.11;0.46607228985948995;0.2;0.2;10801.422;10801.422;0.0
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0.0;very low;0.0;0.0;A+;1448.46;101.26;146669.58;0.58;85761.34;0.25;True;True;8;0.0;0.0;146669.58;0.5847247943302217;0.25;0.25;21440.335;21440.335;0.0
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0.0;very low;0.0;0.0;F;1448.46;108.62;157338.77;0.68;107225.63;0.3;True;True;9;0.0;0.0;157338.77;0.6814952856184144;0.3;0.3;32167.689;32167.689;0.0
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0.0;very low;0.0;0.0;H;1448.46;80.0;115877.11;0.72;82898.02;0.3;True;True;10;0.0;0.0;115877.11;0.7153959914947827;0.3;0.3;24869.406;24869.406;0.0
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0.0;very low;0.0;0.0;F;2522.98;106.39;268422.76;0.67;181047.62;0.3;True;True;11;0.0;0.0;268422.76;0.6744868430680021;0.3;0.3;54314.286;54314.286;0.0
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0.0;very low;0.0;0.0;D;2522.98;161.87;408386.73;0.55;223018.94;0.25;True;True;12;0.0;0.0;408386.73;0.5460974209421545;0.25;0.25;55754.735;55754.735;0.0
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0.0;very low;0.0;0.0;C;2522.98;156.1;393841.21;0.58;228105.26;0.25;True;True;13;0.0;0.0;393841.21;0.5791807820212618;0.25;0.25;57026.315;57026.315;0.0
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0.0;very low;0.0;0.0;F;1829.69;113.5;207677.9;0.65;134989.15;0.3;True;True;14;0.0;0.0;207677.9;0.6499928495039674;0.3;0.3;40496.744999999995;40496.744999999995;0.0
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0.0;very low;0.0;0.0;E;1829.69;111.78;204519.95;0.61;125349.29;0.3;True;True;15;0.0;0.0;204519.95;0.6128951723291541;0.3;0.3;37604.787;37604.787;0.0
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0.0;very low;0.0;0.0;F;1829.69;124.36;227549.31;0.64;144678.54;0.3;True;True;16;0.0;0.0;227549.31;0.6358118159092638;0.3;0.3;43403.562;43403.562;0.0
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0.0;very low;0.0;0.0;E;2522.98;120.15;303147.79;0.75;227360.84;0.3;True;True;17;0.0;0.0;303147.79;0.7499999917531974;0.3;0.3;68208.252;68208.252;0.0
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0.0;very low;0.0;0.0;D;2522.98;88.19;222500.57;0.66;146999.85;0.3;True;True;18;0.0;0.0;222500.57;0.6606717906385589;0.3;0.3;44099.955;44099.955;0.0
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0.0;very low;0.0;0.0;B;1829.69;108.68;198846.89;0.56;112086.02;0.25;True;True;19;0.0;0.0;198846.89;0.5636800253702735;0.25;0.25;28021.505;28021.505;0.0
