ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht
Miltenberg;Landkreis Miltenberg;4,970,310,000,000,000,0;9,159,270,000,000,000,0;;0,0;very low;0,0;0,0;D;2785;87,61;243,991,11;0,3322;81,057,98;0,2
Miltenberg;Landkreis Miltenberg;4,970,620,000,000,000,0;9,223,220,000,000,000,0;;0,0;very low;0,0;0,0;E;2785;77,7;216,403,02;0,6036;130,615,79;0,3
Kirchzell;Landkreis Miltenberg;4,95991e+16;9,187,350,000,000,000,0;;0,0;very low;0,0;0,0;A+;2785;64,12;178,583,34;0,5878;104,965,19;0,25
Amorbach;Landkreis Miltenberg;496,526,000,000,000,0;9,106,240,000,000,000,0;;0,0;very low;0,0;0,0;F;2785;125,15;348,551,06;0,2013;70,154,46;0,2
Eichenbühl;Landkreis Miltenberg;4,950,950,000,000,000,0;9,451,560,000,000,000,0;;0,0;very low;0,0;0,0;D;2785;196,52;547,306,78;0,1308;71,577,97;0,2
Eichenbühl;Landkreis Miltenberg;4,959,890,000,000,000,0;9,371,170,000,000,000,0;;0,0;very low;0,0;0,0;B;2785;60,0;167,100,0;0,6483;108,328,64;0,3
Eichenbühl;Landkreis Miltenberg;4,958,330,000,000,000,0;9,351,470,000,000,000,0;;0,0;very low;0,0;0,0;G;2785;151,17;420,999,58;0,3758;158,227,27;0,2
Bürgstadt;Landkreis Miltenberg;4,97242e+16;9,289,860,000,000,000,0;;0,0;very low;0,0;0,0;A+;2785;60,0;167,100,0;0,2892;48,328,67;0,2
Eichenbühl;Landkreis Miltenberg;4,966,470,000,000,000,0;9,403,570,000,000,000,0;;0,0;very low;0,0;0,0;F;2785;314,26;875,220,39;0,2591;226,743,91;0,2
Weilbach;Landkreis Miltenberg;4,969,380,000,000,000,0;913,865,000,000,000,0;;0,0;very low;0,0;0,0;H;2785;130,33;362,963,58;0,5454;197,953,21;0,25
Oberstdorf;Landkreis Oberallgäu;4,729,920,000,000,000,0;1,02312e+16;;0,0;very low;0,0;0,0;F;4851;66,23;321,259,89;0,3841;123,388,16;0,2
Oberstdorf;Landkreis Oberallgäu;4,74317e+16;1,02857e+16;;0,0;very low;0,0;0,0;D;4851;60,0;291,060,0;0,3476;101,170,22;0,2
Oberstdorf;Landkreis Oberallgäu;4,739,470,000,000,000,0;1,03036e+16;;0,0;very low;0,0;0,0;C;4851;60,0;291,060,0;0,2265;65,937,78;0,2
Pfaffenhausen;Landkreis Unterallgäu;4,811,690,000,000,000,0;1,04402e+16;;0,0;very low;0,0;0,0;F;3518;90,68;319,025,36;0,6833;217,996,02;0,3
Breitenbrunn;Landkreis Unterallgäu;4,816,300,000,000,000,0;1,03665e+16;;0,0;very low;0,0;0,0;E;3518;161,7;568,859,37;0,5076;288,764,58;0,25
Kirchheim in Schwaben;Landkreis Unterallgäu;4,817,130,000,000,000,0;1,04656e+16;;0,0;very low;0,0;0,0;F;3518;92,99;327,123,88;0,5279;172,700,64;0,25
Dietmannsried;Landkreis Oberallgäu;477,993,000,000,000,0;1,03034e+16;;0,0;very low;0,0;0,0;E;4851;70,15;340,297,55;0,4466;151,978,42;0,2
Dietmannsried;Landkreis Oberallgäu;4,782,940,000,000,000,0;1,030,050,000,000,000,0;;0,0;very low;0,0;0,0;D;4851;88,96;431,555,46;0,3005;129,674,71;0,2
Legau;Landkreis Unterallgäu;4,786,460,000,000,000,0;1,01833e+16;;0,0;very low;0,0;0,0;B;3518;60,0;211,080,0;0,7034;148,481,97;0,3
Altusried;Landkreis Oberallgäu;4,77928e+16;1,02286e+16;;0,0;very low;0,0;0,0;F;4851;111,11;539,002,09;0,4278;230,561,37;0,2
Altusried;Landkreis Oberallgäu;4,779,460,000,000,000,0;1,01903e+16;;0,0;very low;0,0;0,0;F;4851;421,02;2,042,390,02;0,0907;185,220,22;0,2
Altusried;Landkreis Oberallgäu;4,778,830,000,000,000,0;1,00994e+16;;0,0;very low;0,0;0,0;H;4851;60,0;291,060,0;0,6356;184,997,49;0,3
Oy-Mittelberg;Landkreis Oberallgäu;4,764,990,000,000,000,0;1,05019e+16;;0,0;very low;0,0;0,0;A;4851;60,0;291,060,0;0,5435;158,190,43;0,25
Nesselwang;Landkreis Ostallgäu;4,76133e+16;1,04965e+16;;0,0;very low;0,0;0,0;B;3907;60,0;234,420,0;0,6047;141,757,32;0,3
Wertach;Landkreis Oberallgäu;4,758,530,000,000,000,0;1,0391e+16;;0,0;very low;0,0;0,0;B;4851;60,0;291,060,0;0,4647;135,245,56;0,2
Bad Hindelang;Landkreis Oberallgäu;4,747,010,000,000,000,0;1,03634e+16;;0,0;very low;0,0;0,0;D;4851;60,0;291,060,0;0,4885;142,184,92;0,2
Rettenberg;Landkreis Oberallgäu;4,754,910,000,000,000,0;1,02956e+16;;0,0;very low;0,0;0,0;F;4851;68,56;332,604,17;0,4338;144,286,57;0,2
Burgberg i.Allgäu;Landkreis Oberallgäu;4,754,590,000,000,000,0;1,028,230,000,000,000,0;;0,0;very low;0,0;0,0;C;4851;60,0;291,060,0;0,728;211,900,18;0,3
Blaichach;Landkreis Oberallgäu;4,748,070,000,000,000,0;1,01228e+16;;0,0;very low;0,0;0,0;E;4851;148,69;721,304,18;0,0927;66,883,01;0,2
Blaichach;Landkreis Oberallgäu;4,749,440,000,000,000,0;1,019,050,000,000,000,0;;0,0;very low;0,0;0,0;D;4851;63,92;310,077,44;0,6767;209,843,36;0,3
Immenstadt im Allgäu;Landkreis Oberallgäu;4,757,260,000,000,000,0;1,02274e+16;;0,0;very low;0,0;0,0;A;4851;147,1;713,594,24;0,1434;102,358,78;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4,757,840,000,000,000,0;1,01346e+16;;0,0;very low;0,0;0,0;A;4851;219,96;1,067,006,41;0,0685;73,057,98;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4,753,460,000,000,000,0;1,0206e+16;;0,0;very low;0,0;0,0;D;4851;60,0;291,060,0;0,3946;114,865,12;0,2
Immenstadt im Allgäu;Landkreis Oberallgäu;4,758,540,000,000,000,0;1,02394e+16;;0,0;very low;0,0;0,0;H;4851;87,61;424,981,58;0,5233;222,386,13;0,25
Oberstaufen;Landkreis Oberallgäu;4,75e+16;1,001,510,000,000,000,0;;0,0;very low;0,0;0,0;H;4851;60,0;291,060,0;0,5722;166,549,81;0,25
Oberstaufen;Landkreis Oberallgäu;4,757,320,000,000,000,0;1,00375e+16;;0,0;very low;0,0;0,0;G;4851;113,75;551,798,19;0,4035;222,665,87;0,2
Wiggensbach;Landkreis Oberallgäu;4,771,660,000,000,000,0;1,02385e+16;;0,0;very low;0,0;0,0;E;4851;89,95;436,365,99;0,2746;119,818,23;0,2
Gaukönigshofen;Landkreis Würzburg;4,96303e+16;100,067,000,000,000,0;;0,0;very low;0,0;0,0;A+;3022;101,06;305,395,31;0,5236;159,904,91;0,25
Leinach;Landkreis Würzburg;4,982,840,000,000,000,0;9,820,560,000,000,000,0;;0,0;very low;0,0;0,0;D;3022;317,74;960,200,61;0,2267;217,657,18;0,2
Roßtal;Landkreis Fürth;4,938,770,000,000,000,0;1,09245e+16;;0,0;very low;0,0;0,0;E;4602;97,09;446,826,74;0,5623;251,265,41;0,25
Roßtal;Landkreis Fürth;4,941,010,000,000,000,0;1,08587e+16;;0,0;very low;0,0;0,0;A;4602;77,36;356,032,5;0,7193;256,090,38;0,3
Roßtal;Landkreis Fürth;4,937,440,000,000,000,0;1,0869e+16;;0,0;very low;0,0;0,0;C;4602;96,7;444,994,57;0,4721;210,094,43;0,2
Großhabersdorf;Landkreis Fürth;4,940,830,000,000,000,0;1,08147e+16;;0,0;very low;0,0;0,0;G;4602;60,0;276,120,0;0,4538;125,314,21;0,2
Burgthann;Landkreis Nürnberger Land;493,284,000,000,000,0;1,13817e+16;;0,0;very low;0,0;0,0;B;3585;60,0;215,100,0;0,4604;99,030,75;0,2
Burgthann;Landkreis Nürnberger Land;4,933,240,000,000,000,0;1,13134e+16;;0,0;very low;0,0;0,0;G;3585;137,07;491,400,22;0,2164;106,334,17;0,2
Burgthann;Landkreis Nürnberger Land;4,935,690,000,000,000,0;1,13083e+16;;0,0;very low;0,0;0,0;C;3585;60,0;215,100,0;0,6251;134,450,52;0,3
Allersberg;Landkreis Roth;4,924,420,000,000,000,0;1,12603e+16;;0,0;very low;0,0;0,0;H;3631;74,35;269,972,3;0,5428;146,534,23;0,25
Allersberg;Landkreis Roth;4,925,330,000,000,0;1,12604e+16;;0,0;very low;0,0;0,0;C;3631;189,0;686,265,11;0,3327;228,318,34;0,2
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;49,291,000,000,000,0;1,126,520,000,000,000,0;;0,0;very low;0,0;0,0;D;3013;137,21;413,402,97;0,4655;192,454,96;0,2
Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,929,940,000,000,000,0;1,13075e+16;;0,0;very low;0,0;0,0;D;3013;81,93;246,848,9;0,5617;138,653,32;0,25
Dasing;Landkreis Aichach-Friedberg;4,837,550,000,000,000,0;1,10383e+16;;0,0;very low;0,0;0,0;G;4487;60,0;269,220,0;0,5386;144,990,85;0,25
Wildpoldsried;Landkreis Oberallgäu;4,778,640,000,000,000,0;1,03976e+16;;0,0;very low;0,0;0,0;H;4851;60,0;291,060,0;0,4874;141,867,06;0,2
