ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise
1;Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;very low;D;2.785
2;Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;very low;E;2.785
3;Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;very low;A+;2.785
4;Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;very low;F;2.785
5;Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;very low;D;2.785
6;Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;very low;B;2.785
7;Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;very low;G;2.785
8;Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;very low;A+;2.785
9;Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;very low;F;2.785
10;Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;very low;H;2.785
11;Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;very low;F;4.851
12;Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;very low;D;4.851
13;Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;very low;C;4.851
14;Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;very low;F;3.518
15;Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;very low;E;3.518
16;Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;very low;F;3.518
17;Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;very low;E;4.851
18;Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;very low;D;4.851
19;Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;very low;B;3.518
20;Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;very low;F;4.851
21;Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;very low;F;4.851
22;Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;very low;H;4.851
23;Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;very low;A;4.851
24;Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;very low;B;3.907
25;Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;very low;B;4.851
26;Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;very low;D;4.851
27;Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;very low;F;4.851
28;Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;very low;C;4.851
29;Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;very low;E;4.851
30;Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;very low;D;4.851
31;Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;very low;A;4.851
32;Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;very low;A;4.851
33;Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;very low;D;4.851
34;Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;very low;H;4.851
35;Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;very low;H;4.851
36;Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;very low;G;4.851
37;Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;very low;E;4.851
38;Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;very low;A+;3.022
39;Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;very low;D;3.022
40;Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;very low;E;4.602
41;Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;very low;A;4.602
42;Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;very low;C;4.602
43;Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;very low;G;4.602
44;Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;very low;B;3.585
45;Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;very low;G;3.585
46;Burgthann;Landkreis Nürnberger Land;4,93569E+15;1,13083E+16;;very low;C;3.585
47;Allersberg;Landkreis Roth;4,92442E+15;1,12603E+16;;very low;H;3.631
48;Allersberg;Landkreis Roth;4,92533E+12;1,12604E+16;;very low;C;3.631
49;Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,9291E+13;1,12652E+15;;very low;D;3.013
50;Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4,92994E+15;1,13075E+16;;very low;D;3.013
51;Dasing;Landkreis Aichach-Friedberg;4,83755E+15;1,10383E+16;;very low;G;4.487
52;Wildpoldsried;Landkreis Oberallgäu;4,77864E+15;1,03976E+16;;very low;H;4.851
53;Haldenwang;Landkreis Oberallgäu;4,78055E+15;1,03421E+15;;very low;G;4.851
54;Collenberg;Landkreis Miltenberg;4,97871E+15;9,32577E+15;;very low;C;2.785
55;Babenhausen;Landkreis Unterallgäu;4,81545E+15;1,0214E+16;;very low;C;3.518
56;Erkheim;Landkreis Unterallgäu;4,80529E+15;1,0321E+16;;very low;D;3.518
57;Boos;Landkreis Unterallgäu;4,80869E+14;1,02254E+16;;very low;C;3.518
58;Biessenhofen;Landkreis Ostallgäu;4,78357E+15;1,06483E+15;;very low;A+;3.907
59;Mauerstetten;Landkreis Ostallgäu;4,78901E+15;1,06774E+16;;very low;G;3.907
60;Stöttwang;Landkreis Ostallgäu;4,78612E+16;1,06866E+15;;very low;A+;3.907
61;Germaringen;Landkreis Ostallgäu;4,79552E+13;1,06836E+15;;very low;H;3.907
62;Pforzen;Landkreis Ostallgäu;4,79404E+15;1,05998E+16;;very low;C;3.907
63;Markt Rettenbach;Landkreis Unterallgäu;4,79569E+16;1,03589E+16;;very low;E;3.518
64;Ottobeuren;Landkreis Unterallgäu;4,79444E+15;1,03407E+14;;very low;C;3.518
65;Ottobeuren;Landkreis Unterallgäu;4,79346E+16;1,02792E+16;;very low;F;3.518
66;Wolfertschwenden;Landkreis Unterallgäu;4,79114E+15;1,02481E+16;;very low;H;3.518
67;Buxheim;Landkreis Unterallgäu;4,80036E+15;1,01226E+16;;very low;F;3.518
68;Woringen;Landkreis Unterallgäu;4,79258E+16;1,0197E+16;;very low;D;3.518
69;Bad Grönenbach;Landkreis Unterallgäu;4,78713E+15;1,02162E+16;;very low;B;3.518
