ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise
1;Miltenberg;Landkreis Miltenberg;4970310000000000,0;9159270000000000,0;;very low;D;2785,0
2;Miltenberg;Landkreis Miltenberg;4970620000000000,0;9223220000000000,0;;very low;E;2785,0
3;Kirchzell;Landkreis Miltenberg;4,95991e+16;9187350000000000,0;;very low;A+;2785,0
4;Amorbach;Landkreis Miltenberg;496526000000000,0;9106240000000000,0;;very low;F;2785,0
5;Eichenbühl;Landkreis Miltenberg;4950950000000000,0;9451560000000000,0;;very low;D;2785,0
6;Eichenbühl;Landkreis Miltenberg;4959890000000000,0;9371170000000000,0;;very low;B;2785,0
7;Eichenbühl;Landkreis Miltenberg;4958330000000000,0;9351470000000000,0;;very low;G;2785,0
8;Bürgstadt;Landkreis Miltenberg;4,97242e+16;9289860000000000,0;;very low;A+;2785,0
9;Eichenbühl;Landkreis Miltenberg;4966470000000000,0;9403570000000000,0;;very low;F;2785,0
10;Weilbach;Landkreis Miltenberg;4969380000000000,0;913865000000000,0;;very low;H;2785,0
11;Oberstdorf;Landkreis Oberallgäu;4729920000000000,0;1,02312e+16;;very low;F;4851,0
12;Oberstdorf;Landkreis Oberallgäu;4,74317e+16;1,02857e+16;;very low;D;4851,0
13;Oberstdorf;Landkreis Oberallgäu;4739470000000000,0;1,03036e+16;;very low;C;4851,0
14;Pfaffenhausen;Landkreis Unterallgäu;4811690000000000,0;1,04402e+16;;very low;F;3518,0
15;Breitenbrunn;Landkreis Unterallgäu;4816300000000000,0;1,03665e+16;;very low;E;3518,0
16;Kirchheim in Schwaben;Landkreis Unterallgäu;4817130000000000,0;1,04656e+16;;very low;F;3518,0
17;Dietmannsried;Landkreis Oberallgäu;477993000000000,0;1,03034e+16;;very low;E;4851,0
18;Dietmannsried;Landkreis Oberallgäu;4782940000000000,0;1030050000000000,0;;very low;D;4851,0
19;Legau;Landkreis Unterallgäu;4786460000000000,0;1,01833e+16;;very low;B;3518,0
20;Altusried;Landkreis Oberallgäu;4,77928e+16;1,02286e+16;;very low;F;4851,0
21;Altusried;Landkreis Oberallgäu;4779460000000000,0;1,01903e+16;;very low;F;4851,0
22;Altusried;Landkreis Oberallgäu;4778830000000000,0;1,00994e+16;;very low;H;4851,0
23;Oy-Mittelberg;Landkreis Oberallgäu;4764990000000000,0;1,05019e+16;;very low;A;4851,0
24;Nesselwang;Landkreis Ostallgäu;4,76133e+16;1,04965e+16;;very low;B;3907,0
25;Wertach;Landkreis Oberallgäu;4758530000000000,0;1,0391e+16;;very low;B;4851,0
26;Bad Hindelang;Landkreis Oberallgäu;4747010000000000,0;1,03634e+16;;very low;D;4851,0
27;Rettenberg;Landkreis Oberallgäu;4754910000000000,0;1,02956e+16;;very low;F;4851,0
28;Burgberg i.Allgäu;Landkreis Oberallgäu;4754590000000000,0;1028230000000000,0;;very low;C;4851,0
29;Blaichach;Landkreis Oberallgäu;4748070000000000,0;1,01228e+16;;very low;E;4851,0
30;Blaichach;Landkreis Oberallgäu;4749440000000000,0;1019050000000000,0;;very low;D;4851,0
31;Immenstadt im Allgäu;Landkreis Oberallgäu;4757260000000000,0;1,02274e+16;;very low;A;4851,0
32;Immenstadt im Allgäu;Landkreis Oberallgäu;4757840000000000,0;1,01346e+16;;very low;A;4851,0
33;Immenstadt im Allgäu;Landkreis Oberallgäu;4753460000000000,0;1,0206e+16;;very low;D;4851,0
34;Immenstadt im Allgäu;Landkreis Oberallgäu;4758540000000000,0;1,02394e+16;;very low;H;4851,0
35;Oberstaufen;Landkreis Oberallgäu;4,75e+16;1001510000000000,0;;very low;H;4851,0
36;Oberstaufen;Landkreis Oberallgäu;4757320000000000,0;1,00375e+16;;very low;G;4851,0
37;Wiggensbach;Landkreis Oberallgäu;4771660000000000,0;1,02385e+16;;very low;E;4851,0
38;Gaukönigshofen;Landkreis Würzburg;4,96303e+16;100067000000000,0;;very low;A+;3022,0
39;Leinach;Landkreis Würzburg;4982840000000000,0;9820560000000000,0;;very low;D;3022,0
40;Roßtal;Landkreis Fürth;4938770000000000,0;1,09245e+16;;very low;E;4602,0
41;Roßtal;Landkreis Fürth;4941010000000000,0;1,08587e+16;;very low;A;4602,0
42;Roßtal;Landkreis Fürth;4937440000000000,0;1,0869e+16;;very low;C;4602,0
43;Großhabersdorf;Landkreis Fürth;4940830000000000,0;1,08147e+16;;very low;G;4602,0
44;Burgthann;Landkreis Nürnberger Land;493284000000000,0;1,13817e+16;;very low;B;3585,0
45;Burgthann;Landkreis Nürnberger Land;4933240000000000,0;1,13134e+16;;very low;G;3585,0
46;Burgthann;Landkreis Nürnberger Land;4935690000000000,0;1,13083e+16;;very low;C;3585,0
47;Allersberg;Landkreis Roth;4924420000000000,0;1,12603e+16;;very low;H;3631,0
48;Allersberg;Landkreis Roth;4925330000000,0;1,12604e+16;;very low;C;3631,0
49;Pyrbaum;Landkreis Neumarkt in der Oberpfalz;49291000000000,0;1126520000000000,0;;very low;D;3013,0
50;Pyrbaum;Landkreis Neumarkt in der Oberpfalz;4929940000000000,0;1,13075e+16;;very low;D;3013,0
51;Dasing;Landkreis Aichach-Friedberg;4837550000000000,0;1,10383e+16;;very low;G;4487,0
52;Wildpoldsried;Landkreis Oberallgäu;4778640000000000,0;1,03976e+16;;very low;H;4851,0
53;Haldenwang;Landkreis Oberallgäu;4780550000000000,0;1034210000000000,0;;very low;G;4851,0
54;Collenberg;Landkreis Miltenberg;4978710000000000,0;9325770000000000,0;;very low;C;2785,0
55;Babenhausen;Landkreis Unterallgäu;4815450000000000,0;1,0214e+16;;very low;C;3518,0
56;Erkheim;Landkreis Unterallgäu;4805290000000000,0;1,0321e+16;;very low;D;3518,0
57;Boos;Landkreis Unterallgäu;480869000000000,0;1,02254e+16;;very low;C;3518,0
58;Biessenhofen;Landkreis Ostallgäu;4783570000000000,0;1064830000000000,0;;very low;A+;3907,0
59;Mauerstetten;Landkreis Ostallgäu;4789010000000000,0;1,06774e+16;;very low;G;3907,0
60;Stöttwang;Landkreis Ostallgäu;4,78612e+16;1068660000000000,0;;very low;A+;3907,0
61;Germaringen;Landkreis Ostallgäu;47955200000000,0;1068360000000000,0;;very low;H;3907,0
62;Pforzen;Landkreis Ostallgäu;4794040000000000,0;1,05998e+16;;very low;C;3907,0
63;Markt Rettenbach;Landkreis Unterallgäu;4,79569e+16;1,03589e+16;;very low;E;3518,0
64;Ottobeuren;Landkreis Unterallgäu;4794440000000000,0;103407000000000,0;;very low;C;3518,0
65;Ottobeuren;Landkreis Unterallgäu;4,79346e+16;1,02792e+16;;very low;F;3518,0
66;Wolfertschwenden;Landkreis Unterallgäu;4791140000000000,0;1,02481e+16;;very low;H;3518,0
67;Buxheim;Landkreis Unterallgäu;4800360000000000,0;1,01226e+16;;very low;F;3518,0
68;Woringen;Landkreis Unterallgäu;4,79258e+16;1,0197e+16;;very low;D;3518,0
69;Bad Grönenbach;Landkreis Unterallgäu;4787130000000000,0;1,02162e+16;;very low;B;3518,0
70;Würzburg;;4977830000000000,0;9935960000000000,0;;very low;E;3022,0
71;Würzburg;;497858000000000,0;993336000000000,0;;very low;H;3022,0
72;Würzburg;;4978010000000000,0;9939060000000000,0;;very low;C;3022,0
73;Würzburg;;4978990000000000,0;9944100000000000,0;;very low;A+;3022,0
74;Würzburg;;4977410000000000,0;9934740000000000,0;;very low;A;3022,0
75;Mindelheim;Landkreis Unterallgäu;4807310000000000,0;1,05012e+16;;very low;F;3518,0
76;Mindelheim;Landkreis Unterallgäu;480432000000000,0;1,05389e+16;;very low;A+;3518,0
77;Mindelheim;Landkreis Unterallgäu;4,80367e+16;1,04538e+16;;very low;E;3518,0
78;Mindelheim;Landkreis Unterallgäu;4,80717e+16;1,05184e+16;;very low;D;3518,0
79;Würzburg;;4979980000000000,0;9926880000000000,0;;very low;B;3022,0
80;Würzburg;;4979940000000000,0;9927000000000000,0;;very low;C;3022,0
81;Würzburg;;4979880000000000,0;993083000000000,0;;very low;C;3022,0
82;Memmingerberg;Landkreis Unterallgäu;4799080000000000,0;1,02198e+16;;very low;G;3518,0
83;Westerheim;Landkreis Unterallgäu;4799780000000000,0;1,0315e+16;;very low;A+;3518,0
84;Sontheim;Landkreis Unterallgäu;4,79974e+16;1,03995e+16;;very low;E;3518,0
85;Grainau;Landkreis Garmisch-Partenkirchen;4743540000000000,0;1,10066e+16;;very low;A;7326,0
86;Schwangau;Landkreis Ostallgäu;4753600000000000,0;1,08396e+16;;very low;A;3907,0
87;Halblech;Landkreis Ostallgäu;4,76142e+16;1,08054e+16;;very low;G;3907,0
