ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche
1;Miltenberg;Landkreis Miltenberg;4970310000000000,0;9159270000000000,0;;very low;D;2785,0;0,3322;81057,98;243991,11;87,61
2;Miltenberg;Landkreis Miltenberg;4970620000000000,0;9223220000000000,0;;very low;E;2785,0;0,6036;130615,79;216403,02;77,7
3;Kirchzell;Landkreis Miltenberg;4,95991e+16;9187350000000000,0;;very low;A+;2785,0;0,5878;104965,19;178583,34;64,12
4;Amorbach;Landkreis Miltenberg;496526000000000,0;9106240000000000,0;;very low;F;2785,0;0,2013;70154,46;348551,06;125,15
5;Eichenbühl;Landkreis Miltenberg;4950950000000000,0;9451560000000000,0;;very low;D;2785,0;0,1308;71577,97;547306,78;196,52
6;Eichenbühl;Landkreis Miltenberg;4959890000000000,0;9371170000000000,0;;very low;B;2785,0;0,6483;108328,64;167100,0;60,0
7;Eichenbühl;Landkreis Miltenberg;4958330000000000,0;9351470000000000,0;;very low;G;2785,0;0,3758;158227,27;420999,58;151,17
8;Bürgstadt;Landkreis Miltenberg;4,97242e+16;9289860000000000,0;;very low;A+;2785,0;0,2892;48328,67;167100,0;60,0
9;Eichenbühl;Landkreis Miltenberg;4966470000000000,0;9403570000000000,0;;very low;F;2785,0;0,2591;226743,91;875220,39;314,26
10;Weilbach;Landkreis Miltenberg;4969380000000000,0;913865000000000,0;;very low;H;2785,0;0,5454;197953,21;362963,58;130,33
11;Oberstdorf;Landkreis Oberallgäu;4729920000000000,0;1,02312e+16;;very low;F;4851,0;0,3841;123388,16;321259,89;66,23
12;Oberstdorf;Landkreis Oberallgäu;4,74317e+16;1,02857e+16;;very low;D;4851,0;0,3476;101170,22;291060,0;60,0
13;Oberstdorf;Landkreis Oberallgäu;4739470000000000,0;1,03036e+16;;very low;C;4851,0;0,2265;65937,78;291060,0;60,0
14;Pfaffenhausen;Landkreis Unterallgäu;4811690000000000,0;1,04402e+16;;very low;F;3518,0;0,6833;217996,02;319025,36;90,68
15;Breitenbrunn;Landkreis Unterallgäu;4816300000000000,0;1,03665e+16;;very low;E;3518,0;0,5076;288764,58;568859,37;161,7
16;Kirchheim in Schwaben;Landkreis Unterallgäu;4817130000000000,0;1,04656e+16;;very low;F;3518,0;0,5279;172700,64;327123,88;92,99
17;Dietmannsried;Landkreis Oberallgäu;477993000000000,0;1,03034e+16;;very low;E;4851,0;0,4466;151978,42;340297,55;70,15
18;Dietmannsried;Landkreis Oberallgäu;4782940000000000,0;1030050000000000,0;;very low;D;4851,0;0,3005;129674,71;431555,46;88,96
19;Legau;Landkreis Unterallgäu;4786460000000000,0;1,01833e+16;;very low;B;3518,0;0,7034;148481,97;211080,0;60,0
20;Altusried;Landkreis Oberallgäu;4,77928e+16;1,02286e+16;;very low;F;4851,0;0,4278;230561,37;539002,09;111,11
21;Altusried;Landkreis Oberallgäu;4779460000000000,0;1,01903e+16;;very low;F;4851,0;0,0907;185220,22;2042390,02;421,02
22;Altusried;Landkreis Oberallgäu;4778830000000000,0;1,00994e+16;;very low;H;4851,0;0,6356;184997,49;291060,0;60,0
23;Oy-Mittelberg;Landkreis Oberallgäu;4764990000000000,0;1,05019e+16;;very low;A;4851,0;0,5435;158190,43;291060,0;60,0
