ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;Immobilienschaden;EAI;EI;Neuer Immobilienwert;Neue LtV;Neue Risikogewicht;Neue RWA;RWA Änderung
Miltenberg;Landkreis Miltenberg;4,97031E+15;9,15927E+15;;0,0;very low;0,0;0,0;D;2785,0;87,61;243991,11;0,33;81057,98;0,2;0,0;0,0;0,0;243991,11;0,33221694019917364;0,2;16211,596;0,0
Miltenberg;Landkreis Miltenberg;4,97062E+15;9,22322E+15;;0,0;very low;0,0;0,0;E;2785,0;77,7;216403,02;0,6;130615,79;0,3;0,0;0,0;0,0;216403,02;0,6035765582199362;0,3;39184,736999999994;0,0
Kirchzell;Landkreis Miltenberg;4,95991E+16;9,18735E+15;;0,0;very low;0,0;0,0;A+;2785,0;64,12;178583,34;0,59;104965,19;0,25;0,0;0,0;0,0;178583,34;0,5877658576662302;0,25;26241,2975;0,0
Amorbach;Landkreis Miltenberg;4,96526E+14;9,10624E+15;;0,0;very low;0,0;0,0;F;2785,0;125,15;348551,06;0,2;70154,46;0,2;0,0;0,0;0,0;348551,06;0,2012745564451877;0,2;14030,892000000002;0,0
Eichenbühl;Landkreis Miltenberg;4,95095E+15;9,45156E+15;;0,0;very low;0,0;0,0;D;2785,0;196,52;547306,78;0,13;71577,97;0,2;0,0;0,0;0,0;547306,78;0,13078217302551962;0,2;14315,594000000001;0,0
Eichenbühl;Landkreis Miltenberg;4,95989E+15;9,37117E+15;;0,0;very low;0,0;0,0;B;2785,0;60,0;167100,0;0,65;108328,64;0,3;0,0;0,0;0,0;167100,0;0,6482862956313584;0,3;32498,591999999997;0,0
Eichenbühl;Landkreis Miltenberg;4,95833E+15;9,35147E+15;;0,0;very low;0,0;0,0;G;2785,0;151,17;420999,58;0,38;158227,27;0,2;0,0;0,0;0,0;420999,58;0,3758371207876264;0,2;31645,453999999998;0,0
Bürgstadt;Landkreis Miltenberg;4,97242E+16;9,28986E+15;;0,0;very low;0,0;0,0;A+;2785,0;60,0;167100,0;0,29;48328,67;0,2;0,0;0,0;0,0;167100,0;0,28922004787552363;0,2;9665,734;0,0
Eichenbühl;Landkreis Miltenberg;4,96647E+15;9,40357E+15;;0,0;very low;0,0;0,0;F;2785,0;314,26;875220,39;0,26;226743,91;0,2;0,0;0,0;0,0;875220,39;0,25907064390947293;0,2;45348,78200000001;0,0
Weilbach;Landkreis Miltenberg;4,96938E+15;9,13865E+14;;0,0;very low;0,0;0,0;H;2785,0;130,33;362963,58;0,55;197953,21;0,25;0,0;0,0;0,0;362963,58;0,5453803657105211;0,25;49488,3025;0,0
Oberstdorf;Landkreis Oberallgäu;4,72992E+15;1,02312E+16;;0,0;very low;0,0;0,0;F;4851,0;66,23;321259,89;0,38;123388,16;0,2;0,0;0,0;0,0;321259,89;0,3840758334319295;0,2;24677,632;0,0
Oberstdorf;Landkreis Oberallgäu;4,74317E+16;1,02857E+16;;0,0;very low;0,0;0,0;D;4851,0;60,0;291060,0;0,35;101170,22;0,2;0,0;0,0;0,0;291060,0;0,3475923177351749;0,2;20234,044;0,0
Oberstdorf;Landkreis Oberallgäu;4,73947E+15;1,03036E+16;;0,0;very low;0,0;0,0;C;4851,0;60,0;291060,0;0,23;65937,78;0,2;0,0;0,0;0,0;291060,0;0,22654359925788498;0,2;13187,556;0,0
Pfaffenhausen;Landkreis Unterallgäu;4,81169E+15;1,04402E+16;;0,0;very low;0,0;0,0;F;3518,0;90,68;319025,36;0,68;217996,02;0,3;0,0;0,0;0,0;319025,36;0,6833187806762446;0,3;65398,806;0,0
Breitenbrunn;Landkreis Unterallgäu;4,8163E+15;1,03665E+16;;0,0;very low;0,0;0,0;E;3518,0;161,7;568859,37;0,51;288764,58;0,25;0,0;0,0;0,0;568859,37;0,5076203280258881;0,25;72191,145;0,0
Kirchheim in Schwaben;Landkreis Unterallgäu;4,81713E+15;1,04656E+16;;0,0;very low;0,0;0,0;F;3518,0;92,99;327123,88;0,53;172700,64;0,25;0,0;0,0;0,0;327123,88;0,527936511391342;0,25;43175,16;0,0
Dietmannsried;Landkreis Oberallgäu;4,77993E+14;1,03034E+16;;0,0;very low;0,0;0,0;E;4851,0;70,15;340297,55;0,45;151978,42;0,2;0,0;0,0;0,0;340297,55;0,44660450831926357;0,2;30395,684000000005;0,0
Dietmannsried;Landkreis Oberallgäu;4,78294E+15;1,03005E+15;;0,0;very low;0,0;0,0;D;4851,0;88,96;431555,46;0,3;129674,71;0,2;0,0;0,0;0,0;431555,46;0,3004821442880134;0,2;25934,942000000003;0,0
Legau;Landkreis Unterallgäu;4,78646E+15;1,01833E+16;;0,0;very low;0,0;0,0;B;3518,0;60,0;211080,0;0,7;148481,97;0,3;0,0;0,0;0,0;211080,0;0,7034393121091529;0,3;44544,591;0,0
Altusried;Landkreis Oberallgäu;4,77928E+16;1,02286E+16;;0,0;very low;0,0;0,0;F;4851,0;111,11;539002,09;0,43;230561,37;0,2;0,0;0,0;0,0;539002,09;0,42775598513913;0,2;46112,274000000005;0,0
Altusried;Landkreis Oberallgäu;4,77946E+15;1,01903E+16;;0,0;very low;0,0;0,0;F;4851,0;421,02;2042390,02;0,09;185220,22;0,2;0,0;0,0;0,0;2042390,02;0,09068797741187552;0,2;37044,044;0,0
Altusried;Landkreis Oberallgäu;4,77883E+15;1,00994E+16;;0,0;very low;0,0;0,0;H;4851,0;60,0;291060,0;0,64;184997,49;0,3;0,0;0,0;0,0;291060,0;0,6355991548134405;0,3;55499,246999999996;0,0
Oy-Mittelberg;Landkreis Oberallgäu;4,76499E+15;1,05019E+16;;0,0;very low;0,0;0,0;A;4851,0;60,0;291060,0;0,54;158190,43;0,25;0,0;0,0;0,0;291060,0;0,5434976637119494;0,25;39547,6075;0,0
Nesselwang;Landkreis Ostallgäu;4,76133E+16;1,04965E+16;;0,0;very low;0,0;0,0;B;3907,0;60,0;234420,0;0,6;141757,32;0,3;0,0;0,0;0,0;234420,0;0,6047151266956745;0,3;42527,196;0,0
Wertach;Landkreis Oberallgäu;4,75853E+15;1,0391E+16;;0,0;very low;0,0;0,0;B;4851,0;60,0;291060,0;0,46;135245,56;0,2;0,0;0,0;0,0;291060,0;0,4646655672369958;0,2;27049,112;0,0
Bad Hindelang;Landkreis Oberallgäu;4,74701E+15;1,03634E+16;;0,0;very low;0,0;0,0;D;4851,0;60,0;291060,0;0,49;142184,92;0,2;0,0;0,0;0,0;291060,0;0,48850724936439227;0,2;28436,984000000004;0,0
Rettenberg;Landkreis Oberallgäu;4,75491E+15;1,02956E+16;;0,0;very low;0,0;0,0;F;4851,0;68,56;332604,17;0,43;144286,57;0,2;0,0;0,0;0,0;332604,17;0,43380866211027963;0,2;28857,314000000002;0,0
Burgberg i.Allgäu;Landkreis Oberallgäu;4,75459E+15;1,02823E+15;;0,0;very low;0,0;0,0;C;4851,0;60,0;291060,0;0,73;211900,18;0,3;0,0;0,0;0,0;291060,0;0,7280292036006322;0,3;63570,054;0,0
Blaichach;Landkreis Oberallgäu;4,74807E+15;1,01228E+16;;0,0;very low;0,0;0,0;E;4851,0;148,69;721304,18;0,09;66883,01;0,2;0,0;0,0;0,0;721304,18;0,09272511078474548;0,2;13376,601999999999;0,0
Blaichach;Landkreis Oberallgäu;4,74944E+15;1,01905E+15;;0,0;very low;0,0;0,0;D;4851,0;63,92;310077,44;0,68;209843,36;0,3;0,0;0,0;0,0;310077,44;0,6767450092467223;0,3;62953,007999999994;0,0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75726E+15;1,02274E+16;;0,0;very low;0,0;0,0;A;4851,0;147,1;713594,24;0,14;102358,78;0,2;0,0;0,0;0,0;713594,24;0,14344115221557843;0,2;20471,756;0,0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75784E+15;1,01346E+16;;0,0;very low;0,0;0,0;A;4851,0;219,96;1067006,41;0,07;73057,98;0,2;0,0;0,0;0,0;1067006,41;0,06847004789783784;0,2;14611,596;0,0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75346E+15;1,0206E+16;;0,0;very low;0,0;0,0;D;4851,0;60,0;291060,0;0,39;114865,12;0,2;0,0;0,0;0,0;291060,0;0,39464412835841406;0,2;22973,024;0,0
Immenstadt im Allgäu;Landkreis Oberallgäu;4,75854E+15;1,02394E+16;;0,0;very low;0,0;0,0;H;4851,0;87,61;424981,58;0,52;222386,13;0,25;0,0;0,0;0,0;424981,58;0,5232841621041552;0,25;55596,5325;0,0
Oberstaufen;Landkreis Oberallgäu;4,75E+16;1,00151E+15;;0,0;very low;0,0;0,0;H;4851,0;60,0;291060,0;0,57;166549,81;0,25;0,0;0,0;0,0;291060,0;0,5722181337181337;0,25;41637,4525;0,0
Oberstaufen;Landkreis Oberallgäu;4,75732E+15;1,00375E+16;;0,0;very low;0,0;0,0;G;4851,0;113,75;551798,19;0,4;222665,87;0,2;0,0;0,0;0,0;551798,19;0,4035277281355345;0,2;44533,174;0,0
Wiggensbach;Landkreis Oberallgäu;4,77166E+15;1,02385E+16;;0,0;very low;0,0;0,0;E;4851,0;89,95;436365,99;0,27;119818,23;0,2;0,0;0,0;0,0;436365,99;0,2745819627235386;0,2;23963,646;0,0
Gaukönigshofen;Landkreis Würzburg;4,96303E+16;1,00067E+14;;0,0;very low;0,0;0,0;A+;3022,0;101,06;305395,31;0,52;159904,91;0,25;0,0;0,0;0,0;305395,31;0,5235997566563809;0,25;39976,2275;0,0
Leinach;Landkreis Würzburg;4,98284E+15;9,82056E+15;;0,0;very low;0,0;0,0;D;3022,0;317,74;960200,61;0,23;217657,18;0,2;0,0;0,0;0,0;960200,61;0,22667886036856402;0,2;43531,436;0,0
Roßtal;Landkreis Fürth;4,93877E+15;1,09245E+16;;0,0;very low;0,0;0,0;E;4602,0;97,09;446826,74;0,56;251265,41;0,25;0,0;0,0;0,0;446826,74;0,5623329749692241;0,25;62816,3525;0,0
Roßtal;Landkreis Fürth;4,94101E+15;1,08587E+16;;0,0;very low;0,0;0,0;A;4602,0;77,36;356032,5;0,72;256090,38;0,3;0,0;0,0;0,0;356032,5;0,7192893345410882;0,3;76827,114;0,0
Roßtal;Landkreis Fürth;4,93744E+15;1,0869E+16;;0,0;very low;0,0;0,0;C;4602,0;96,7;444994,57;0,47;210094,43;0,2;0,0;0,0;0,0;444994,57;0,4721280756302262;0,2;42018,886;0,0
Großhabersdorf;Landkreis Fürth;4,94083E+15;1,08147E+16;;0,0;very low;0,0;0,0;G;4602,0;60,0;276120,0;0,45;125314,21;0,2;0,0;0,0;0,0;276120,0;0,4538396711574678;0,2;25062,842000000004;0,0
Burgthann;Landkreis Nürnberger Land;4,93284E+14;1,13817E+16;;0,0;very low;0,0;0,0;B;3585,0;60,0;215100,0;0,46;99030,75;0,2;0,0;0,0;0,0;215100,0;0,4603940027894003;0,2;19806,15;0,0
Burgthann;Landkreis Nürnberger Land;4,93324E+15;1,13134E+16;;0,0;very low;0,0;0,0;G;3585,0;137,07;491400,22;0,22;106334,17;0,2;0,0;0,0;0,0;491400,22;0,21639015546228288;0,2;21266,834000000003;0,0
